generation	acceptanceRateTrace	proposalAcceptRate	boundaryViolationsTrace	directednessTrace	epsilonTrace	nSamplesTrace	nAcceptedTrace	meanAcceptedRMSE	medianAcceptedRMSE	sparsityCountTrace	sparsityFractionTrace	diversityTrace	proposalWidthTrace
1	0.2997	0.1	0	1	8.26562	1000	300	7.97791	8.02152	4834	1	1.22632	0.212817
2	0.3	0.1375	0.0730544	1	5.23505	800	330	4.93516	5.00864	4797	0.992346	1.62086	0.246327
3	0.3	0.13	0.0370938	1	4.7154	800	339	4.43828	4.50155	4797	0.992346	2.10186	0.285082
4	0.299385	0.12625	0.031196	1	4.22256	800	341	3.93696	3.965	4797	0.992346	2.60623	0.32836
5	0.299737	0.13	0.0273953	1	3.73836	800	342	3.46893	3.5311	4797	0.992346	3.11823	0.372265
6	0.299475	0.12875	0.0255242	1	3.3295	800	342	3.02726	3.07857	4797	0.992346	3.61475	0.417078
7	0.299475	0.1225	0.0244213	1	2.9018	800	342	2.58847	2.64829	4797	0.992346	4.18575	0.46855
8	0.299475	0.11125	0.0237795	1	2.50073	800	342	2.19874	2.24559	4797	0.992346	4.77464	0.521894
9	0.299363	0.101667	0.0237295	1	2.15156	600	282	1.9189	1.95358	4796	0.992139	5.19048	0.566179
10	0.29932	0.0983333	0.0241429	0.999867	1.89332	600	264	1.71232	1.75199	4789	0.990691	5.63398	0.612399
11	0.299769	0.0933333	0.0250972	0.997826	1.71724	600	259	1.54387	1.56855	4777	0.988209	6.16467	0.664567
12	0.299185	0.075	0.0260743	0.986121	1.5717	600	257	1.43675	1.45765	4750	0.982623	6.60263	0.708768
13	0.299883	0.0733333	0.027309	0.978665	1.48085	600	257	1.36216	1.3879	4716	0.97559	7.10445	0.754333
14	0.299883	0.0483333	0.028764	0.95047	1.42236	600	257	1.31662	1.32974	4702	0.972693	7.44144	0.788919
15	0.299848	0.055	0.0295971	0.935935	1.34694	400	197	1.25676	1.27672	4666	0.965246	7.55343	0.823805
16	0.299832	0.0375	0.0314698	0.929736	1.30369	400	179	1.22751	1.24387	4640	0.959868	7.68644	0.846631
17	0.298791	0.0425	0.0324886	0.907123	1.28001	400	173	1.20047	1.21436	4618	0.955317	7.88247	0.874888
18	0.298429	0.025	0.0336166	0.885221	1.25994	400	171	1.18535	1.20351	4585	0.94849	7.98793	0.889311
19	0.299475	0.0325	0.0346566	0.886452	1.24329	400	171	1.17015	1.18211	4518	0.93463	8.22351	0.917066
20	0.299475	0.03	0.0363467	0.881984	1.22312	400	171	1.15296	1.16944	4489	0.928631	8.31503	0.924433
21	0.299475	0.03	0.0371944	0.879849	1.21111	400	171	1.13835	1.15886	4452	0.920976	8.38482	0.935655
22	0.299475	0.0175	0.0377498	0.885836	1.19613	400	171	1.12501	1.15179	4391	0.908357	8.3706	0.941466
23	0.299475	0.025	0.0382535	0.837037	1.18671	400	171	1.11315	1.13221	4396	0.909392	8.45585	0.949817
24	0.299475	0.0175	0.0388555	0.825059	1.17566	400	171	1.10234	1.11963	4373	0.904634	8.50774	0.957558
25	0.299475	0.0225	0.0396995	0.786493	1.16647	400	171	1.08903	1.10737	4348	0.899462	8.60119	0.971183
26	0.299475	0.015	0.0405891	0.777187	1.15521	400	171	1.07999	1.09554	4336	0.89698	8.73333	0.988378
27	0.299475	0.015	0.0417553	0.776248	1.15102	400	171	1.07211	1.08598	4330	0.895739	8.78301	0.996625
28	0.299475	0.0225	0.0428636	0.745909	1.13673	400	171	1.06097	1.07537	4322	0.894084	8.91387	1.01239
29	0.299475	0.02	0.0440722	0.730483	1.12681	400	171	1.05076	1.06525	4299	0.889326	8.92774	1.01523
30	0.299475	0.01	0.0440784	0.722049	1.11975	400	171	1.04595	1.06095	4274	0.884154	8.97198	1.02331
31	0.299475	0.005	0.0448712	0.712996	1.11318	400	171	1.03931	1.05125	4262	0.881671	9.07854	1.03736
