param_index	reaction_id	source	prior	gen1	gen2	gen3	gen4	gen5	gen6	gen7	gen8	gen9	gen10	gen11	gen12	gen13	gen14	gen15	gen16	gen17	gen18	gen19	gen20	gen21	gen22	gen23	gen24	gen25	gen26	gen27	gen28	gen29	gen30	gen31	gen32
1	r_0001_EXP_1	brenda	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
2	r_0001_EXP_2	brenda	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
3	r_0001_EXP_3	brenda	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
4	r_0001_EXP_4	brenda	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
5	r_0002_EXP_1	brenda	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
6	r_0002_EXP_2	brenda	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
7	r_0003	brenda	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667	2258.6667
8	r_0003_REV	brenda	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
9	r_0004_EXP_1	brenda	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372
10	r_0004_EXP_2	brenda	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372	372
11	r_0005_EXP_1	brenda	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333
12	r_0005_EXP_2	brenda	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333
13	r_0005_EXP_3	brenda	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333	13.333333
14	r_0006_EXP_1	OpenKineticsPredictor	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	23.028091	12.953715	9.5598989	10.42705	9.9249855	8.5053485
15	r_0006_EXP_2	OpenKineticsPredictor	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799	26.824799
16	r_0007	brenda	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
17	r_0012	brenda	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5
18	r_0013	brenda	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
19	r_0014	brenda	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099
20	r_0015	brenda	0.00066666667	0.00066666667	0.01	0.010364542	0.010696133	0.011028441	0.011536546	0.012081523	0.012584537	0.012742492	0.012891519	0.013260183	0.013483262	0.013892413	0.014427491	0.015603885	0.015770178	0.016679976	0.017660415	0.018832724	0.019616623	0.020504028	0.022033634	0.022704706	0.023374145	0.022697915	0.023496212	0.023587032	0.022663381	0.022796694	0.023532126	0.023751004	0.022291334
21	r_0016_EXP_1	brenda	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121
22	r_0016_EXP_2	brenda	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121
23	r_0017	brenda	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667	2.2916667
24	r_0018_EXP_1	OpenKineticsPredictor	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924	20.798924
25	r_0018_EXP_2	brenda	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200
26	r_0018_EXP_3	brenda	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540	1540
27	r_0018_REV_EXP_1	OpenKineticsPredictor	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	11.270064	20.50515	20.50515	10.478893	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515	20.50515
28	r_0018_REV_EXP_2	brenda	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278
