generation	source	activeBySource	nearPriorBySource	meanDeviationBySource	varianceRatioBySource	changeMagnitudeQ25	changeMagnitudeQ50	changeMagnitudeQ75
28	brenda	41	3198	0.264784	1.00128	0	0	0
28	custom	0	207	0	1	0	0	0
28	unlabelled	47	207	0.844806	1.09252	0	0	0
29	OpenKineticsPredictor	446	729	1.54465	1.18979	0	0	0.820689
29	brenda	41	3198	0.264793	1.00128	0	0	0
29	custom	0	207	0	1	0	0	0
29	unlabelled	48	206	0.890229	1.09449	0	0	0
30	OpenKineticsPredictor	467	708	1.65161	1.19872	0	0	0.83962
30	brenda	42	3198	0.268503	1.00131	0	0	0
30	custom	0	207	0	1	0	0	0
30	unlabelled	51	203	0.957132	1.10039	0	0	0
31	OpenKineticsPredictor	478	697	1.71568	1.2034	0	0	0.872346
31	brenda	41	3198	0.265592	1.00128	0	0	0
31	custom	0	207	0	1	0	0	0
31	unlabelled	53	201	1.01211	1.10433	0	0	0
