sample_index	rmse
1	0.87147457
2	0.87892452
3	0.88185634
4	0.88537301
5	0.8883752
6	0.89718579
7	0.92534948
8	0.93827603
9	0.94648929
10	0.94883075
11	0.95137037
12	0.95476086
13	0.9620627
14	0.96467043
15	0.96485747
16	0.96543801
17	0.96682492
18	0.96840066
19	0.97057215
20	0.97421702
21	0.97562735
22	0.97571466
23	0.97695875
24	0.97994208
25	0.98116292
26	0.98231708
27	0.98286692
28	0.98294189
29	0.98306582
30	0.98316132
31	0.98351128
32	0.98602343
33	0.98696222
34	0.98761714
35	0.98772763
36	0.98777542
37	0.98932434
38	0.98997983
39	0.9900762
40	0.99054011
41	0.99333161
42	0.99347572
43	0.99423569
44	0.99460907
45	0.99548476
46	0.99893782
47	0.9993741
48	0.99950378
49	0.99974027
50	1.0003774
51	1.0018299
52	1.0027315
53	1.0040241
54	1.0045238
55	1.0070604
56	1.0086954
57	1.0097556
58	1.0133774
59	1.0146751
60	1.0150352
61	1.0151969
62	1.0152547
63	1.0157052
64	1.0178213
65	1.0206605
66	1.0208312
67	1.0232395
68	1.0234501
69	1.023655
70	1.0241114
71	1.0242904
72	1.0281287
73	1.0298728
74	1.0316333
75	1.0320371
76	1.0344368
77	1.0358642
78	1.0367815
79	1.0380567
80	1.0382347
81	1.0410635
82	1.041239
83	1.0412951
84	1.0423459
85	1.0436079
86	1.0444098
87	1.0453247
88	1.0463635
89	1.0463932
90	1.0467423
91	1.0471774
92	1.0495803
93	1.0495894
94	1.0508663
95	1.0512518
96	1.0523687
97	1.0529386
98	1.0539469
99	1.0540332
100	1.0544949
101	1.0570675
102	1.0572006
103	1.0577763
104	1.0586756
105	1.0590152
106	1.0604397
107	1.060947
108	1.0616051
109	1.0616295
110	1.0616798
111	1.061934
112	1.0620003
113	1.0628273
114	1.0631037
115	1.0649055
116	1.0650433
117	1.0652502
118	1.0657565
119	1.0660342
120	1.066408
121	1.0676069
122	1.0677592
123	1.0677816
124	1.0686871
125	1.0687592
126	1.0712055
127	1.072309
128	1.0728839
129	1.073862
130	1.0745565
131	1.0746764
132	1.0749261
133	1.0753603
134	1.0753737
135	1.075546
136	1.0757175
137	1.0757892
138	1.0764516
139	1.0770502
140	1.0782568
141	1.0784486
142	1.0785931
143	1.0789727
144	1.0793613
145	1.0807566
146	1.0814309
147	1.082766
148	1.0850987
149	1.0854616
150	1.085982
151	1.0867808
152	1.0880746
153	1.0882867
154	1.0894472
155	1.0902964
156	1.0912019
157	1.0919129
158	1.0925313
159	1.092718
160	1.092824
161	1.094231
162	1.0955415
163	1.0967025
164	1.0982341
165	1.0992924
166	1.0993629
167	1.1005466
168	1.1022659
169	1.1028099
170	1.1037587
171	1.1042444
