param_index	reaction_id	source	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171
1	r_0001_EXP_1	brenda	3884.3914	18.399115	4537.1515	1913.8888	225.00087	10000	4756.287	310.65944	1721.0396	93.235847	144.93551	717.70811	1168.1671	824.87028	7342.867	660.25756	1937.1284	181.26892	319.07857	2042.7127	100.58498	10000	9762.473	74.574614	1830.5261	3679.8298	1997.4605	870.97717	158.10153	28.468809	534.67018	5236.2566	726.42931	10000	3551.5451	461.52467	1482.2776	10000	504.5958	61.637745	6353.917	10000	14.758208	1054.9086	291.42777	4519.7972	86.170472	10000	276.5227	38.258936	221.10247	9337.9712	5403.5614	10000	7154.7767	630.27708	1089.0946	1073.3903	2051.9419	10000	9848.0643	87.082365	391.98435	1195.0026	4186.3802	244.09294	59.568868	782.68861	1706.2668	1771.5885	102.17169	321.85294	2604.4885	10000	1424.5238	658.57401	2995.6131	3586.743	764.38848	191.27032	1305.1626	10000	8070.1632	1323.8121	10000	10000	749.42953	860.97688	63.113194	78.355208	7129.9582	283.68724	573.50587	9131.1612	18.605519	10000	2179.7829	4782.416	10000	742.01339	210.1678	2473.7921	10000	1478.4884	10000	944.87777	472.53812	5018.6125	10000	2398.1215	1880.1426	55.490413	5322.3144	218.58618	4403.2512	5105.5236	754.91455	684.75818	10000	3546.4598	3765.268	935.33069	1098.2829	182.51426	10000	12.853631	2424.67	492.37205	63.928328	330.42011	67.14913	8177.5522	1390.2792	10000	756.54181	10000	6688.2454	76.422253	1639.6057	625.44748	958.65292	145.40601	10000	10000	157.57592	1308.9184	85.054024	2883.5473	128.41301	119.03983	16.191454	578.7024	6495.396	3366.1425	2613.819	10000	602.9899	83.276116	192.58747	612.66042	1461.0436	6473.4903	1283.2392	5907.6922	66.346231	13.663263	2006.6659	815.8607	3670.0952	187.60429	525.02935
2	r_0001_EXP_2	brenda	3329.2754	98.136179	4060.9096	5060.7877	155.42029	1866.5602	2476.3607	1703.7324	148.71211	589.01329	1451.7041	3127.6656	271.97862	4640.6026	7986.3064	7120.2096	8033.2963	365.62469	1141.994	5500.5706	69.340641	4302.3532	266.69509	1193.8087	221.04831	7007.5267	4643.4655	490.9921	416.20164	3020.7874	1255.5023	8066.0318	575.44011	1846.1368	572.19916	2248.4608	1734.4667	377.49169	1379.4565	1052.429	2839.1337	6304.696	3151.5007	2968.9507	1336.7623	10000	291.48019	10000	999.40932	570.0121	2300.6669	3431.1489	5283.8375	3495.8753	10000	634.51559	1650.5335	7935.2424	1494.2687	3552.1285	2833.9561	161.78505	482.46979	9781.1849	5797.5338	3021.8397	7017.5773	1469.7639	374.72924	310.30227	5356.2607	158.19401	453.26953	739.52765	2907.2808	230.41954	2343.3596	1131.3722	4103.5638	228.78026	224.51471	244.02262	5780.7096	1242.3497	10000	10000	945.80073	1242.4987	438.32849	380.04795	2102.3263	1581.602	302.88141	6272.2519	748.426	10000	1394.6237	5446.2031	4289.8244	9209.0759	1100.6095	5630.3887	10000	6551.2142	2079.7291	2989.4316	7105.5588	1499.2947	348.20142	4297.4072	6428.1936	100.95861	936.8431	1445.7712	281.44511	2245.9986	508.45674	2678.4973	10000	10000	1637.2602	2725.5951	386.97454	315.31222	3629.9709	89.362882	3524.3814	2696.2811	810.25504	704.48432	211.02784	6502.7439	10000	4504.4075	922.76021	9126.9136	2348.7342	417.79488	8249.2262	831.63724	1035.9723	328.32259	4984.7951	4676.7285	3475.8603	1409.3441	3295.7615	2482.6565	709.18709	1256.2573	764.07004	266.22944	677.42383	362.71611	5024.8805	1244.7553	374.65339	5987.3242	1812.1323	662.05	10000	844.65215	5714.3814	3383.3031	260.29972	182.59631	10000	1038.9335	1801.1239	831.9952	458.26248
3	r_0001_EXP_3	brenda	2881.282	1152.7854	3695.8343	4020.2333	329.54817	448.51421	1490.1266	89.111565	329.23277	177.42836	165.77228	1179.9772	4108.2971	610.82646	3016.0642	163.23497	157.49229	695.78877	75.797328	441.22906	244.1739	10000	1546.7926	1249.4384	54.741795	1917.5414	250.71786	728.55371	13.210944	1046.8742	2706.9097	351.6527	87.722842	469.91325	1520.0939	336.83996	885.77113	4248.9753	13.089263	771.55963	1060.8346	781.12156	628.96784	3235.3902	72.265711	417.10645	594.97411	627.63405	2555.2353	344.86408	1140.8012	952.64534	450.4656	1649.3928	5582.6385	156.89806	10000	84.085391	895.38195	4250.6675	1864.1918	1685.001	178.04882	57.278807	4314.5881	5.176596	445.80762	17.078023	614.69862	430.15603	230.24543	57.195801	1448.6695	2237.3245	83.526113	6603.351	3853.9933	240.30364	637.50544	1343.8534	873.4652	2902.5772	873.68432	3014.3203	9428.8724	962.23205	65.90301	98.28739	266.04171	704.00982	1982.5541	127.35727	3381.0345	224.94552	43.161138	1524.955	93.05304	499.00252	7354.599	372.80249	2183.4127	1037.9194	1015.8599	1698.1408	990.70761	43.115672	5971.1989	1007.0895	1129.4107	446.93314	10000	484.60748	1904.3732	10000	4990.3071	10000	2442.1852	165.33965	7420.059	61.091603	682.91644	1404.2283	231.39211	7367.6086	1160.9744	617.20313	1550.9988	143.45597	63.098215	347.69196	495.18386	1345.024	132.60174	319.64631	2844.73	211.75768	508.04189	202.34052	1135.0394	9694.6426	5676.2413	385.07742	1520.8914	457.33194	206.30376	5075.369	10000	688.07966	649.49556	126.70633	2344.928	1048.4534	219.15139	830.54754	205.81786	2512.8174	10000	10000	770.10123	187.60015	83.160213	4799.7689	284.30686	518.08493	1219.8454	3041.4572	1175.4581	217.75375	2025.2719	10000	29.363378
4	r_0001_EXP_4	brenda	4935.4469	3877.0539	375.37267	577.77542	1426.4719	1253.1234	10000	4034.2513	1480.2371	7518.2696	4266.5372	10000	740.06987	10000	818.46639	2728.7616	1464.8067	208.08283	10000	10000	599.30937	287.1298	1812.6611	679.46981	256.55734	10000	10000	2489.6774	16.696238	1238.5699	950.24054	676.43802	4191.6602	9834.7928	3190.2553	917.50838	1769.2971	7198.1762	1245.3846	4913.7341	4811.5664	4367.8817	1075.9547	1077.9032	3660.5188	839.69662	4954.9178	10000	10000	3345.5672	3789.8924	10000	3561.9781	6129.9326	826.44067	2368.0389	2504.9681	2138.761	3442.6404	256.86417	4423.4005	1823.5996	4698.2082	5336.5541	4142.0484	463.75606	906.74632	1860.1596	387.84996	1116.9614	4290.1815	5124.1255	383.35589	3146.7821	4085.8924	1176.6554	6577.5784	3667.718	905.04514	577.02347	230.76009	6297.0325	4897.9864	5430.2965	1192.359	10000	8356.6599	217.94844	3899.882	2768.9227	3338.5743	4700.2042	953.97631	353.07659	5475.7702	6098.9791	3866.5744	4361.2927	3870.4255	312.39528	1325.1415	1533.532	10000	1293.4776	3049.8135	10000	2627.8241	2494.138	2462.8561	607.41436	933.50259	1541.8404	3949.2094	9703.4544	9910.1577	2150.5282	8185.1121	10000	10000	1964.7747	10000	1236.8952	2758.9408	1899.476	3354.3184	4166.6908	395.41652	9693.6404	6585.3764	2612.2773	1579.0914	10000	5648.4894	10000	3585.6668	5237.4397	137.3437	3839.4758	10000	1601.3132	2583.9755	76.300919	9565.8669	10000	3619.3414	1089.6865	5764.9458	1362.1527	180.34115	10000	688.79441	7796.5046	836.25003	4381.5386	2276.7606	6098.8591	2658.3457	8094.3079	2300.9867	630.97731	5486.4454	6591.4608	3584.5671	3366.3107	589.4669	1565.9579	2910.4029	1865.3029	451.69562	10000	588.59878
5	r_0002_EXP_1	brenda	833.57363	144.63713	132.07793	103.28305	1857.2997	2309.123	861.64887	10000	2594.4515	10000	4593.6446	642.58344	8862.777	380.44427	464.52142	5601.7568	7524.9762	109.04371	3188.0499	728.65334	107.21789	149.4603	2317.4207	40.06992	7771.0372	192.84224	7.5417689	1875.6616	2055.8783	254.70234	6777.7849	715.39286	7894.1794	455.95608	172.76815	3337.3093	33.814333	215.03505	1166.2886	2957.5328	238.47049	57.64945	301.72105	4150.4132	4747.6302	2049.0361	6864.6289	6.4082651	2534.1465	1069.8299	497.53527	273.1734	20.796851	204.24037	437.8469	10000	1979.4983	638.74635	128.45073	3228.4499	442.73943	878.10643	5103.2541	10000	1413.7577	1531.6187	216.8093	349.96348	599.05552	2311.9333	10000	34.595894	422.38789	102.67098	10000	444.51392	145.91921	1076.5593	77.003715	10000	616.95359	2527.486	108.34333	305.63652	1489.1314	209.93593	2985.8024	4937.5009	546.93029	1078.6971	394.19569	10000	920.62187	4153.947	9012.846	478.08332	5455.7643	120.88048	235.43994	50.901727	485.94861	2605.8698	470.27584	2454.2097	315.11167	3503.2397	50.170815	10000	894.84057	795.12825	4743.1612	55.369491	158.08313	10000	2613.3544	49.512026	349.63028	5739.8697	619.22834	4298.154	8714.2084	1466.0384	759.92521	9226.1964	931.25314	519.66821	10000	10000	10000	1397.228	356.66474	131.74304	218.0724	7417.3427	1258.455	349.0628	2617.4308	10000	394.65819	2639.4064	754.54351	20.167776	83.974256	1858.0906	542.37268	7179.7993	10000	2282.2988	221.60325	10000	286.95658	20.321674	5607.4609	450.90523	486.57205	252.17419	1015.2245	10000	10000	509.98571	2142.9809	2044.4389	958.82656	211.58453	71.896721	988.23907	202.83954	1544.452	4083.7517	10000	2814.5978
6	r_0002_EXP_2	brenda	247.08817	2195.2029	778.06979	1641.4157	77.371296	7720.4594	3007.4678	1951.6436	429.44988	1328.2363	7106.3205	191.1829	8465.0642	225.47128	308.62554	379.93896	80.763824	7616.1922	2379.0018	736.33868	5486.5971	4.8079552	24.052625	1699.4435	1699.8055	184.59624	34.98483	40.778121	565.1294	10000	10000	118.80923	348.07095	138.03044	1199.8914	1083.657	2693.7158	205.16925	3210.3038	2247.5681	1372.6372	116.58031	10000	10000	4345.5578	24.862291	4325.6591	67.399782	52.5251	10000	2112.1177	281.58395	80.360704	127.78412	107.7666	1252.4944	1458.1325	297.47105	139.95883	5739.6904	138.71277	4614.4393	2755.4919	432.47937	7438.6294	4532.6642	10000	2995.311	183.32093	490.11111	323.53153	504.75945	1762.2594	590.07359	3727.3633	1745.167	976.30915	4783.7091	132.27617	210.94054	508.10631	6.5675695	139.50149	410.00795	2890.5687	775.4649	1659.6931	644.80431	5511.8581	8014.0967	20.584254	1240.3523	53.072365	327.34801	10000	10000	6586.7121	193.31341	478.75199	298.32206	7430.1229	10000	5924.4124	10000	68.787505	5618.6577	6731.113	910.79246	501.42955	31.820497	10000	10000	327.62855	73.17794	219.30856	1177.1912	420.0502	677.55506	10000	152.52227	864.01854	10000	64.833256	2172.4868	2037.2159	1243.8004	2367.6528	583.62888	1382.4331	55.708249	5512.3821	196.0302	6175.9651	6113.2761	487.10555	7049.9105	630.19611	680.27945	635.00302	1710.7637	314.315	2698.1454	127.19936	2931.8215	8095.2811	924.11835	81.394076	10000	4712.7291	1395.6359	7859.7239	490.72714	148.70598	980.31322	916.82674	373.9128	321.69329	62.814716	37.526316	104.8431	47.297223	1292.695	10000	88.781112	2741.2891	1982.1108	465.77787	1763.0059	7987.2119	87.693773	247.98383
7	r_0003	brenda	1476.0855	564.80189	138.58001	294.17198	7167.4314	410.89604	7811.8558	3363.7918	10000	10000	2031.9224	4650.9792	863.83129	2661.6016	528.99566	5386.316	10000	308.893	10000	846.43486	18.320209	349.0005	1823.1631	240.39178	825.65277	2963.5285	6142.21	439.55591	7298.7008	84.003849	4958.5763	1007.9553	10000	1869.0715	690.01522	10000	300.00307	28.874728	2019.0061	10000	5326.1541	596.84673	196.02023	10000	6281.6747	455.61978	10000	589.59216	1566.0089	253.80001	74.410265	2922.4455	2404.1045	442.16465	305.91565	1786.5756	1588.5756	1070.3893	5309.6717	60.826668	161.65764	97.361514	2738.2452	7151.2193	484.44671	9544.165	18.866342	6279.0694	3090.4931	8554.7577	3334.5507	26.331022	3866.1265	338.33627	10000	3830.6414	597.63779	5825.5216	10000	5669.1242	2487.8808	3901.2143	908.71061	675.45292	576.65078	10000	10000	785.07724	4108.0323	285.66853	679.81491	3987.8769	6200.76	2544.0756	538.46235	660.62864	1631.084	4686.3654	692.25055	5985.7193	53.287297	508.76501	53.247669	636.57331	1139.882	9024.7332	483.00651	145.72683	7298.4817	1524.5494	1122.5452	106.88338	1263.153	1681.002	144.50543	208.40042	72.147014	1224.6163	2096.0159	10000	5572.5251	2398.2538	10000	207.90705	10000	246.90416	7934.336	6152.0981	2506.3782	8482.0064	68.050783	985.3487	77.710547	1699.0595	4387.117	37.202042	1889.1213	10000	4413.1028	3573.7602	3739.7887	125.19386	1048.5302	1752.6066	2883.2836	4049.2276	4810.8035	388.48559	30.23085	10000	74.776902	47.433821	5753.5867	10000	2400.3515	2538.0271	2559.7119	3943.2118	10000	3165.3902	2901.7368	271.70073	1135.4676	595.97495	1853.5369	408.96934	2583.1265	4332.2072	1655.6547	2673.4136	10000
8	r_0003_REV	brenda	348.24138	0.038491025	3605.2233	4560.7122	142.61904	25.692654	461.37562	28.150563	175.22963	10.363682	16.590406	2287.5207	28.511329	192.57812	4401.2824	21.398648	22.007706	1.3290409	3.9390703	9971.9943	24.989182	434.68688	66.061758	1.0555034	452.28592	537.84512	1297.549	1065.3225	588.51585	65.773067	181.52562	39.042387	14.647564	2403.1675	1386.3585	3.2139397	1388.1703	10.126009	317.38675	16.599448	436.70078	10000	28.430288	15.000737	34.41325	232.31144	16.266064	7786.1241	289.11054	1069.237	10.83329	623.63806	2142.3652	3855.9572	2832.8955	962.03597	28.559218	8.9882003	322.14398	4379.2585	10000	0.33431732	890.54949	21.193824	80.041735	50.357879	18.430527	255.58799	76.213136	153.91687	22.945854	416.5284	49.468635	977.876	16.203125	30.491101	1253.3773	166.23599	802.62952	76.864948	352.61286	64.601596	10000	754.18044	654.87912	1910.4548	17.194939	400.09576	8.6429203	785.89014	4575.893	64.698637	21.011068	2645.7867	1.2466995	10000	26.543158	573.16251	396.84444	481.80185	7.5983855	65.511541	55.929144	126.90251	2547.4023	157.09048	1980.3755	8.709424	125.03334	297.48557	119.96556	15.703953	1277.1491	44.059829	62.352547	139.18129	5.1560699	180.22273	9929.0131	80.364971	30.888426	143.41645	20.210665	4.4201294	356.16068	0.011637958	523.00535	47.335929	2.8986361	13.716653	2.946889	1855.5508	97.686694	207.94746	163.44738	95.160673	114.89908	26.95147	631.5293	140.03456	56.510568	3.2461124	2029.9139	613.95719	8.047222	81.022717	346.72808	71.685514	0.3106127	13.033206	19.611357	138.0765	149.98337	239.16569	827.94564	1798.6682	237.94227	71.253135	44.550342	75.826567	2.1512925	20.32657	689.16997	1608.8387	2.8647703	70.777853	1787.5237	731.01118	341.09728	16.233548	31.912829
9	r_0004_EXP_1	brenda	244.82437	74.029991	259.32719	383.90364	360.6366	2105.8741	366.76283	147.7354	251.31601	4519.1554	206.74121	530.87213	317.31423	1322.6755	73.951448	351.48938	352.14422	100.81763	457.82044	1204.1893	217.8431	104.2193	7.5222766	202.42769	685.52134	44.973221	84.144262	234.98913	181.76842	22.685581	2922.8346	834.17121	448.00856	557.22411	34.122211	5981.7049	9.5710632	2926.2655	3344.0012	2367.7559	607.60379	226.63357	53.100745	8861.4523	1053.5579	2049.5348	3230.5325	260.80135	20.079608	691.2167	357.7745	109.23173	90.979179	87.531497	59.445259	26.950912	264.4078	301.49217	153.54125	329.58247	401.07029	93.353758	21.541676	221.74865	1261.5476	1343.3965	11.313466	3848.8882	1141.4795	78.064015	613.76269	154.11822	1505.0106	56.141907	887.67982	715.6972	95.304365	600.12903	5034.3132	125.99197	1380.2188	7.0304452	276.19516	50.590834	562.92517	197.88074	525.24967	669.37959	7436.8598	640.75937	3188.9744	231.93284	136.73229	934.0183	88.797719	241.17169	250.13169	7153.4091	279.87938	1868.4647	141.43021	1926.2006	38.327131	2348.2898	284.67956	191.60826	108.26502	1415.1125	5517.9933	1815.9005	5006.9408	217.8917	141.74809	261.66883	33.15605	91.750585	10000	981.9323	151.46326	256.71516	255.66745	4092.8859	1103.8473	49.045695	672.4217	28.795747	2656.1753	275.48291	1347.57	2996.2578	267.86445	659.73321	91.956875	385.27319	147.09053	53.411303	6845.6093	203.41042	748.23202	422.36823	416.13199	191.41991	35.286103	284.9451	423.86336	922.93833	81.487569	4593.7851	583.9164	551.62563	41.666937	190.67015	3887.4147	6293.941	297.44529	158.01602	176.4718	161.35634	24.58268	384.53944	2594.1195	10000	89.402844	6403.4324	526.44151	187.82608	294.11753	413.38841	371.23891	749.28684	1766.009
10	r_0004_EXP_2	brenda	99.381971	463.19114	563.4437	1051.0145	420.82191	10.943238	597.32309	608.38571	1896.6514	304.53662	496.76304	187.08817	102.9328	455.42762	14.85389	2494.2459	2870.3153	10000	251.39092	7.0838423	8711.4744	242.87152	10000	10000	4960.1769	13.364797	723.40212	727.84604	260.84382	287.07573	10.612145	19.14822	411.83712	21.545885	212.79547	294.68263	359.67102	82.941252	146.36348	913.75846	173.14675	4.5323346	282.07737	4.3007782	20.738491	45.798072	1905.3062	55.13702	538.76379	375.86078	1795.7675	38.478398	94.518196	7.7430969	23.712435	1040.6453	202.27291	1418.1121	65.761539	38.844887	50.733979	355.44189	1893.5977	10000	257.21446	149.89492	205.58046	112.0175	298.73529	895.4759	10000	194.2207	424.21127	98.282666	28.99852	107.08038	99.57335	17.696032	2906.8115	170.19999	185.94171	1532.3201	58.907346	72.433235	40.097874	409.7276	113.29703	423.57424	502.75283	183.82849	34.597531	594.5922	690.1586	132.47507	83.013961	167.90194	1409.1185	2153.1638	171.75172	106.56847	1666.0304	73.404977	136.09611	81.473319	107.68946	185.52478	1094.2823	94.202947	396.04666	13.102616	97.941424	10000	110.57446	849.10051	211.25569	28.896336	3930.336	2448.0461	190.72716	10000	324.0711	16.410029	10000	2172.1678	508.08048	116.7707	1262.9236	679.17007	639.87864	10000	7480.7418	21.912649	285.64623	27.032026	385.59811	283.13498	1043.2177	1254.2126	83.47047	331.32375	168.03681	8706.5054	9.1068176	27.665237	107.6186	33.495455	471.2087	176.51937	7301.6198	488.84734	1461.9658	237.37058	78.993286	100.665	295.80827	146.89142	481.75924	1232.0191	58.667663	88.100644	210.69304	1410.7889	609.25187	1088.8505	10000	71.719327	154.11722	16.215946	139.69998	1081.6239	99.283644
