uniprotID_S288c	GeneName_S288C	Standard _A	Standard _B	Standard _C	High_temperature_A	High_temperature_B	High_temperature_C	Low_pH_A	Low_pH_B	Low_pH_C	Osmotic_stress _A	Osmotic_stress _B	Osmotic_stress _C
P00359	YGR192C	8.79059E-05	0.000130876	0.000126384	0.000103177	0.000122549	9.49777E-05	0.000121886	0.000146979	0.000112702	0.000149981	0.00018067	0.000211035
P00358	YJR009C	3.93764E-05	5.29945E-05	4.79699E-05	4.96958E-05	5.08822E-05	5.64138E-05	6.33792E-05	6.50822E-05	4.42908E-05	7.8002E-05	8.44046E-05	0.000102667
P00360	YJL052W	2.13293E-05	3.06869E-05	2.80874E-05	2.8E-05	2.60707E-05	2.76844E-05	3.40961E-05	3.69323E-05	2.66025E-05	3.06146E-05	3.55457E-05	2.81096E-05
P46367	YOR374W	6.4184E-05	6.26143E-05	5.84387E-05	5.35828E-05	6.61356E-05	6.17375E-05	5.78789E-05	6.85911E-05	5.96669E-05	5.37601E-05	4.83918E-05	4.80309E-05
P40047	YER073W	3.0704E-06	3.08459E-06	2.24935E-06	1.24607E-06	1.81371E-06	1.75923E-06	2.56075E-06	3.44955E-06	2.49566E-06	1.1935E-06	6.97015E-07	1.17367E-06
P02994	YPR080W	7.39723E-05	7.99184E-05	8.76652E-05	6.93508E-05	8.51154E-05	7.44842E-05	7.07042E-05	7.51822E-05	6.501E-05	6.19586E-05	7.79888E-05	7.03167E-05
P19097	YPL231W	6.35122E-06	5.84388E-06	6.50588E-06	4.9024E-06	5.34099E-06	4.6309E-06	4.76379E-06	5.41161E-06	6.34475E-06	6.27187E-06	5.97493E-06	5.21636E-06
P07259	YJL130C	2.56963E-06	2.44438E-06	2.95173E-06	2.42964E-06	2.48822E-06	2.48704E-06	1.67083E-06	2.09217E-06	2.63052E-06	2.15231E-06	2.26447E-06	2.11048E-06
P03965	YJR109C	2.3299E-06	2.26495E-06	2.15121E-06	1.39556E-06	1.23076E-06	1.14364E-06	1.15061E-06	1.41239E-06	1.71365E-06	8.73598E-07	7.94567E-07	1.10576E-06
P00560	YCR012W	4.34942E-05	5.29945E-05	4.28919E-05	5.12344E-05	4.56401E-05	4.59684E-05	4.74595E-05	4.60586E-05	4.32069E-05	6.71992E-05	6.9826E-05	7.63177E-05
P07149	YKL182W	5.33725E-06	3.99573E-06	4.03479E-06	3.40047E-06	4.03514E-06	3.77714E-06	3.18686E-06	3.20783E-06	4.18784E-06	4.47044E-06	4.26112E-06	3.53721E-06
P05694	YER091C	2.13422E-05	2.05184E-05	1.68107E-05	1.12962E-05	1.38415E-05	1.27023E-05	1.73256E-05	1.72974E-05	1.73339E-05	1.36815E-05	1.33615E-05	1.23867E-05
P04806	YFR053C	1.20438E-05	1.28349E-05	9.35949E-06	1.2036E-05	1.50641E-05	1.41372E-05	1.36428E-05	1.59034E-05	1.57655E-05	1.42185E-05	1.49596E-05	1.4948E-05
P04807	YGL253W	2.4395E-06	3.19056E-06	2.5065E-06	2.99196E-06	3.36489E-06	2.18926E-06	4.60143E-06	4.08329E-06	4.49605E-06	5.6243E-06	7.46559E-06	6.46756E-06
P22202	YER103W	7.68775E-06	6.9212E-06	6.7576E-06	6.95827E-06	7.26398E-06	7.56701E-06	5.93357E-06	7.23807E-06	6.52274E-06	8.82239E-06	1.03661E-05	7.26948E-06
P09435	YBL075C	7.82008E-06	8.05174E-06	8.93608E-06	6.83852E-06	9.45016E-06	7.71557E-06	7.04143E-06	1.04885E-05	8.58306E-06	5.05975E-06	5.97682E-06	3.90058E-06
