uniprotID_S288c	GeneName_S288C	Standard _A	Standard _B	Standard _C	High_temperature_A	High_temperature_B	High_temperature_C	Low_pH_A	Low_pH_B	Low_pH_C	Osmotic_stress _A	Osmotic_stress _B	Osmotic_stress _C
P16474	YJL034W	3.71033E-06	2.29693E-06	2.5231E-06	3.0787E-06	4.11347E-06	4.0684E-06	2.81458E-06	2.81E-06	2.77053E-06	3.603E-06	2.02765E-06	2.71422E-06
P32324	YOR133W	1.51059E-05	1.24106E-05	1.40742E-05	1.34404E-05	1.40309E-05	1.45929E-05	9.95925E-06	1.12288E-05	1.23638E-05	1.13578E-05	1.64486E-05	1.44963E-05
P06169	YLR044C	2.34661E-05	2.54438E-05	2.41756E-05	2.55997E-05	2.85881E-05	2.93816E-05	2.25782E-05	2.33654E-05	1.7845E-05	2.45198E-05	2.44785E-05	2.76108E-05
P26263	YGR087C	2.30346E-06	2.52128E-06	2.58797E-06	2.92781E-06	3.26284E-06	3.19383E-06	3.45026E-06	3.81955E-06	2.55983E-06	1.92936E-06	1.86161E-06	1.97784E-06
Q00955	YNR016C	2.58563E-06	2.80355E-06	2.46368E-06	2.39663E-06	2.94466E-06	2.94805E-06	2.2067E-06	2.44289E-06	2.68983E-06	2.65538E-06	2.79377E-06	2.77872E-06
Q01574	YAL054C	9.41948E-06	9.52245E-06	1.07181E-05	1.13861E-05	1.16195E-05	1.36386E-05	5.87871E-06	7.72681E-06	7.82603E-06	6.02326E-06	7.40362E-06	6.70145E-06
P52910	YLR153C	4.29154E-06	3.81523E-06	4.09297E-06	3.40578E-06	3.73494E-06	3.44862E-06	2.3986E-06	4.4431E-06	3.95072E-06	3.93897E-06	3.78189E-06	4.91715E-06
P00830	YJR121W	2.47467E-05	2.76049E-05	2.20588E-05	2.07362E-05	2.25913E-05	2.00959E-05	2.63671E-05	2.49762E-05	2.12922E-05	3.26782E-05	2.85862E-05	3.46444E-05
P16861	YGR240C	3.08773E-06	3.2328E-06	3.00118E-06	3.26042E-06	4.42286E-06	3.80126E-06	2.22622E-06	2.27022E-06	4.38717E-06	4.81803E-06	5.77412E-06	4.4386E-06
P16862	YMR205C	1.52369E-06	1.24334E-06	1.38729E-06	1.50713E-06	2.16936E-06	1.56504E-06	1.16974E-06	1.5423E-06	1.60544E-06	2.18699E-06	1.89469E-06	2.27132E-06
P00549	YAL038W	1.94614E-05	2.19139E-05	2.08437E-05	2.10087E-05	2.29014E-05	2.29632E-05	1.65678E-05	2.13203E-05	1.79671E-05	1.9683E-05	2.11711E-05	2.28463E-05
P52489	YOR347C	1.42349E-07	3.00709E-07	2.19284E-07	3.77561E-07	2.05958E-07	1.56087E-07	3.1129E-07	3.44608E-07	6.53704E-08	1.1923E-07	2.84172E-07	2.35894E-07
Q02207	YKR009C	4.79226E-06	4.61889E-06	5.29469E-06	6.47653E-06	5.28262E-06	6.34506E-06	3.9275E-06	4.75631E-06	4.64086E-06	5.43421E-06	4.65354E-06	5.97888E-06
P06105	YJL080C	1.23936E-06	1.36025E-06	9.41202E-07	1.27558E-06	1.33162E-06	1.68283E-06	1.33611E-06	1.2868E-06	1.21639E-06	1.35037E-06	9.70001E-07	9.59014E-07
P16521	YLR249W	6.91283E-06	6.29963E-06	6.05587E-06	4.22937E-06	4.93076E-06	4.70994E-06	4.64658E-06	4.90032E-06	5.66389E-06	7.31404E-06	8.00162E-06	7.03071E-06
P53978	YNL014W	1.00611E-06	1.24027E-06	1.14699E-06	1.72674E-06	1.5398E-06	2.16514E-06	8.98266E-07	9.94409E-07	1.02282E-06	7.17955E-07	5.17394E-07	5.75055E-07
P19414	YLR304C	5.26404E-06	5.83186E-06	4.82193E-06	5.46885E-06	5.34071E-06	5.98348E-06	4.95891E-06	5.32165E-06	4.96745E-06	5.58457E-06	5.87562E-06	6.15872E-06
P39533	YJL200C	1.82213E-06	2.32808E-06	1.9981E-06	1.70576E-06	1.90096E-06	1.86075E-06	1.79997E-06	2.10775E-06	2.19405E-06	1.22025E-06	2.07562E-06	1.52328E-06
P54115	YPL061W	1.66241E-05	1.6367E-05	1.52755E-05	1.37434E-05	1.73241E-05	1.39162E-05	1.5827E-05	1.79293E-05	1.75333E-05	3.38366E-05	4.50488E-05	3.84241E-05
P02829	YPL240C	5.45494E-06	1.25291E-05	9.1365E-06	1.50375E-05	1.56982E-05	1.9216E-05	1.10112E-05	1.02509E-05	1.02725E-05	1.46786E-05	1.05516E-05	7.34073E-06
P00924	YGR254W	1.67861E-05	1.87041E-05	1.93858E-05	1.24442E-05	1.98773E-05	1.45319E-05	2.05538E-05	2.32688E-05	2.12184E-05	2.6626E-05	2.68429E-05	2.27666E-05
P38689	YHL011C	6.71491E-07	6.26185E-07	6.11383E-07	7.86218E-07	8.20761E-07	9.85833E-07	6.48218E-07	1.13731E-06	5.90135E-07	9.6381E-07	1.01404E-06	1.04237E-06
P38063	YBL068W	0	4.25262E-07	1.95667E-07	4.33492E-08	2.62676E-07	1.64863E-07	1.08403E-07	2.29659E-07	2.52875E-07	1.25935E-07	1.32498E-07	2.10488E-07
P38620	YER099C	0	2.7921E-07	1.06392E-07	4.5108E-08	1.42827E-07	5.65607E-08	3.71827E-08	1.24875E-07	1.37498E-07	1.31044E-07	4.54568E-08	1.14451E-07
P14540	YKL060C	2.74764E-05	3.16175E-05	3.34431E-05	1.8249E-05	2.65069E-05	2.13753E-05	3.34043E-05	3.25874E-05	3.12784E-05	4.36313E-05	3.91871E-05	4.25027E-05
P31539	YLL026W	6.93444E-06	7.69478E-06	6.42452E-06	7.73213E-06	9.57632E-06	8.8358E-06	6.81159E-06	7.70443E-06	8.12403E-06	4.22475E-06	4.73294E-06	3.68978E-06
P32589	YPL106C	5.88046E-06	5.90765E-06	5.45648E-06	5.53992E-06	6.42735E-06	5.49343E-06	5.60471E-06	5.24162E-06	5.168E-06	9.426E-06	1.09443E-05	1.06514E-05
P32590	YBR169C	2.56296E-06	2.70338E-06	2.58751E-06	2.53511E-06	3.82765E-06	2.63253E-06	1.39784E-06	2.73894E-06	2.25244E-06	2.42817E-06	1.84063E-06	1.87488E-06
P06168	YLR355C	2.35789E-05	2.84813E-05	2.22778E-05	1.4629E-05	1.52717E-05	1.58573E-05	2.09777E-05	2.37976E-05	2.13071E-05	1.45027E-05	1.9624E-05	1.92268E-05
P38009	YMR120C	7.28065E-06	7.05643E-06	6.37202E-06	4.0696E-06	5.63935E-06	4.58614E-06	6.0928E-06	7.23116E-06	8.23505E-06	7.84853E-06	1.02681E-05	8.52371E-06
P54113	YLR028C	3.09777E-06	3.48815E-06	2.54363E-06	2.35672E-06	2.82796E-06	2.95508E-06	2.53878E-06	3.53402E-06	3.48439E-06	1.93789E-06	2.91424E-06	3.23901E-06
P0CS90	YJR045C	6.9336E-06	8.18953E-06	1.01422E-05	7.44013E-06	1.03993E-05	8.44938E-06	6.53169E-06	8.85087E-06	6.54294E-06	8.54377E-06	8.73346E-06	1.16577E-05
P07262	YOR375C	1.2017E-05	1.20522E-05	1.10774E-05	7.55853E-06	9.00086E-06	1.03593E-05	2.34062E-05	2.3368E-05	2.14797E-05	2.29713E-05	2.52521E-05	2.18763E-05
P39708	YAL062W	1.75216E-06	1.83974E-06	1.49824E-06	1.72522E-06	1.59955E-06	2.41585E-06	5.07769E-06	5.05198E-06	6.18939E-06	3.65809E-06	4.6833E-06	2.97544E-06
P47169	YJR137C	3.05062E-06	3.75649E-06	3.06392E-06	2.17132E-06	2.4839E-06	1.77208E-06	2.63956E-06	2.99438E-06	3.29707E-06	2.84305E-06	2.39776E-06	2.6125E-06
P19358	YDR502C	1.39938E-05	1.25313E-05	1.1902E-05	9.8822E-06	9.84861E-06	1.29628E-05	1.17523E-05	1.34868E-05	9.93147E-06	1.21937E-05	9.95861E-06	9.03583E-06
P10659	YLR180W	9.38344E-06	8.75032E-06	6.38092E-06	5.08859E-06	6.0707E-06	8.74204E-06	7.11808E-06	8.27782E-06	7.41153E-06	9.11199E-06	6.2399E-06	6.16922E-06
P07251	YBL099W	1.25358E-05	1.54162E-05	1.15288E-05	9.35437E-06	1.21431E-05	1.05781E-05	1.16177E-05	1.49107E-05	1.06861E-05	1.42002E-05	1.42E-05	1.63293E-05
P07245	YGR204W	4.13331E-06	4.12618E-06	3.42022E-06	4.26367E-06	3.90548E-06	3.91801E-06	3.29724E-06	2.63769E-06	3.14025E-06	3.58329E-06	3.77004E-06	3.23682E-06
P09440	YBR084W	3.98694E-07	5.46965E-07	3.98859E-07	5.12918E-07	2.63971E-07	2.12044E-07	4.72271E-07	4.68152E-07	3.50388E-07	4.91281E-07	4.03856E-07	4.29072E-07
P17255	YDL185W	3.38859E-06	3.38274E-06	3.52582E-06	3.17218E-06	3.53518E-06	4.52131E-06	2.97292E-06	3.09084E-06	3.84947E-06	3.77816E-06	3.19671E-06	3.89459E-06
P38720	YHR183W	9.12616E-06	7.82261E-06	8.94328E-06	6.71132E-06	8.33129E-06	6.22777E-06	8.27374E-06	7.28412E-06	8.35218E-06	1.17441E-05	1.12134E-05	1.05808E-05
P53319	YGR256W	3.88078E-06	3.37037E-06	3.82464E-06	4.12956E-06	4.85398E-06	3.96302E-06	3.61676E-06	4.48909E-06	4.4086E-06	3.47968E-06	3.41991E-06	3.88961E-06
P11154	YGL062W	2.23384E-06	1.8326E-06	2.04781E-06	2.36955E-06	2.03928E-06	2.15485E-06	1.67719E-06	1.71034E-06	1.88324E-06	2.10672E-06	3.11995E-06	2.58991E-06
0	0	1.20137E-06	1.12031E-06	2.99201E-06	1.50161E-06	1.09673E-06	2.52098E-06	1.23804E-06	9.5888E-07	2.58604E-06	1.43827E-06	2.02607E-06	1.25614E-06
P17709	YCL040W	6.41641E-06	7.22501E-06	5.74494E-06	6.47653E-06	6.45452E-06	7.39088E-06	3.95171E-06	7.61517E-06	6.80905E-06	7.37658E-06	7.44492E-06	7.81478E-06
Q04409	YDR516C	2.11549E-06	1.59309E-06	1.29737E-06	2.03849E-06	2.54277E-06	3.05417E-06	9.62366E-07	1.06537E-06	7.40155E-07	2.13957E-06	2.45459E-06	1.54754E-06
P05030	YGL008C	3.46755E-06	2.8542E-06	3.4789E-06	3.7926E-06	3.82235E-06	3.80219E-06	2.60087E-06	2.54948E-06	3.94501E-06	5.1201E-06	6.48439E-06	4.101E-06
P19657	YPL036W	1.97166E-06	1.63989E-06	2.06663E-06	2.88503E-06	2.54435E-06	2.53093E-06	1.58171E-06	1.66146E-06	2.34142E-06	2.9878E-06	3.02456E-06	2.22317E-06
P06106	YLR303W	1.43588E-05	1.57421E-05	1.21944E-05	1.08901E-05	1.09483E-05	9.37626E-06	1.25479E-05	1.14606E-05	1.3933E-05	1.20268E-05	1.44211E-05	1.19711E-05
P37291	YLR058C	6.0723E-06	6.62905E-06	7.47071E-06	4.73615E-06	4.94423E-06	6.65831E-06	7.32571E-06	8.43678E-06	6.8841E-06	5.65914E-06	5.6496E-06	6.00235E-06
P37292	YBR263W	2.4077E-06	2.68281E-06	2.47382E-06	1.91076E-06	1.25858E-06	1.93479E-06	1.90225E-06	2.29624E-06	2.11599E-06	1.83016E-06	1.55496E-06	1.76131E-06
P23254	YPR074C	2.98821E-06	3.47629E-06	2.93897E-06	2.1641E-06	2.56802E-06	2.19132E-06	2.97063E-06	2.38506E-06	2.94443E-06	3.45105E-06	3.63091E-06	2.45088E-06
P33315	YBR117C	1.83964E-06	1.32255E-06	9.6443E-07	1.35906E-06	1.17497E-06	1.41128E-06	1.65893E-06	2.09872E-06	2.16469E-06	3.10774E-06	4.34023E-06	2.57543E-06
P19882	YLR259C	6.52675E-06	7.74171E-06	8.61662E-06	1.07656E-05	9.95909E-06	1.23397E-05	5.76428E-06	7.90201E-06	7.29601E-06	8.57069E-06	8.14998E-06	7.73144E-06
P60010	YFL039C	1.88165E-05	1.69531E-05	1.89159E-05	2.05499E-05	2.20922E-05	1.5938E-05	1.4979E-05	1.35136E-05	1.71035E-05	1.85291E-05	1.28091E-05	1.66838E-05
P20967	YIL125W	2.83972E-06	3.09611E-06	2.87428E-06	4.05758E-06	4.23586E-06	3.50596E-06	2.95047E-06	3.05549E-06	3.36436E-06	4.61432E-06	3.96616E-06	3.92124E-06
P32191	YIL155C	7.55544E-06	6.09084E-06	5.50008E-06	8.03979E-06	9.72174E-06	1.03932E-05	5.07324E-06	5.41331E-06	5.96053E-06	7.00189E-06	6.428E-06	7.57264E-06
P22137	YGL206C	1.35249E-06	1.57747E-06	1.4431E-06	1.37768E-06	1.76478E-06	1.42412E-06	9.36405E-07	1.30349E-06	1.86503E-06	1.17851E-06	1.92693E-06	1.28081E-06
P18239	YBL030C	1.96885E-05	1.49094E-05	2.08066E-05	1.65499E-05	1.93976E-05	2.07518E-05	1.41952E-05	1.45055E-05	1.66324E-05	2.19363E-05	2.61687E-05	1.79223E-05
P25694	YDL126C	3.25891E-06	3.91501E-06	2.96719E-06	2.72064E-06	3.83262E-06	4.0762E-06	4.02643E-06	4.45738E-06	4.28251E-06	4.37574E-06	3.84521E-06	4.35547E-06
Q12680	YDL171C	7.19728E-07	6.40734E-07	8.6627E-07	5.72813E-07	4.08264E-07	5.84042E-07	1.06985E-06	1.11617E-06	1.45918E-06	9.99504E-07	9.82336E-07	9.02234E-07
P08566	YDR127W	1.32851E-06	1.45414E-06	1.22662E-06	1.01846E-06	1.2128E-06	9.97784E-07	9.57843E-07	1.01605E-06	1.31857E-06	7.62181E-07	1.12182E-06	1.27392E-06
P00942	YDR050C	2.07086E-05	2.52319E-05	2.23189E-05	2.464E-05	2.27046E-05	2.61008E-05	1.87137E-05	2.81282E-05	2.57613E-05	3.1599E-05	3.10563E-05	3.13704E-05
Q12460	YLR197W	4.26711E-06	3.24283E-06	4.30799E-06	3.26525E-06	2.51054E-06	2.76545E-06	3.07654E-06	2.77557E-06	3.28153E-06	3.5741E-06	4.25337E-06	2.92406E-06
Q12499	YOR310C	1.64987E-06	1.53855E-06	1.38932E-06	1.78662E-06	1.50617E-06	1.80909E-06	1.32844E-06	1.31686E-06	1.28777E-06	1.54329E-06	1.80044E-06	1.64688E-06
P29311	YER177W	1.84006E-05	1.79989E-05	1.19113E-05	1.68786E-05	1.67979E-05	1.73213E-05	1.45769E-05	1.68815E-05	1.77684E-05	1.54122E-05	1.39209E-05	1.28136E-05
P34730	YDR099W	1.78621E-05	1.66569E-05	1.21466E-05	1.56201E-05	1.55226E-05	1.59263E-05	1.35088E-05	1.7869E-05	1.80441E-05	1.4242E-05	1.42418E-05	1.24386E-05
P00815	YCL030C	2.87965E-06	3.41159E-06	2.94486E-06	2.26321E-06	2.90555E-06	2.68281E-06	2.52139E-06	2.18088E-06	3.07341E-06	2.41197E-06	2.94208E-06	2.79625E-06
Q00055	YDL022W	2.8281E-06	3.22234E-06	3.2956E-06	3.91963E-06	3.76928E-06	4.52736E-06	3.23164E-06	3.02229E-06	3.62865E-06	2.53835E-05	2.8676E-05	3.01641E-05
P41911	YOL059W	8.55853E-07	1.14076E-06	1.42551E-06	1.4323E-06	2.13716E-06	1.34135E-06	3.8934E-07	1.30729E-06	6.07404E-07	1.1935E-06	1.84733E-06	1.04237E-06
P15019	YLR354C	7.17994E-06	8.14737E-06	6.31123E-06	7.64022E-06	7.01671E-06	9.58002E-06	8.34767E-06	7.40767E-06	7.21106E-06	1.12431E-05	7.6993E-06	8.03661E-06
P53228	YGR043C	1.07963E-06	2.3859E-06	2.22678E-06	3.19795E-06	3.33846E-06	4.00989E-06	2.09684E-06	2.91884E-06	3.2139E-06	4.85459E-06	4.31488E-06	2.96634E-06
P41939	YLR174W	4.12215E-06	4.47761E-06	4.5319E-06	4.50856E-06	5.03848E-06	6.05182E-06	5.68769E-06	5.00738E-06	4.21983E-06	3.45268E-06	4.23136E-06	4.3101E-06
P21954	YDL066W	2.44702E-06	4.52337E-06	2.63729E-06	2.8651E-06	2.72946E-06	3.27841E-06	3.74384E-06	3.60567E-06	2.62762E-06	2.50429E-06	4.27461E-06	3.06753E-06
P53982	YNL009W	7.44574E-07	1.22895E-06	8.96176E-07	1.15245E-06	5.31087E-07	3.33326E-07	8.027E-07	8.88614E-07	3.81857E-07	2.54619E-07	5.12669E-07	4.25573E-07
P38972	YGR061C	1.42828E-06	1.39517E-06	1.31065E-06	1.24901E-06	1.18329E-06	1.21407E-06	1.23046E-06	1.14E-06	1.49986E-06	1.31094E-06	1.76528E-06	1.40993E-06
P46655	YGL245W	3.86248E-06	3.95763E-06	3.01911E-06	3.543E-06	3.52607E-06	3.25576E-06	4.09688E-06	2.93469E-06	3.90183E-06	4.40188E-06	5.0075E-06	2.96383E-06
P22768	YOL058W	1.46393E-05	1.13057E-05	1.29359E-05	9.35809E-06	1.10678E-05	8.38779E-06	8.74108E-06	1.00668E-05	9.00117E-06	2.82839E-06	4.7163E-06	5.01077E-06
P07244	YGL234W	4.13367E-06	3.54323E-06	3.04527E-06	2.90204E-06	3.31982E-06	2.82085E-06	2.50631E-06	2.90254E-06	3.48488E-06	2.91164E-06	3.49441E-06	2.66025E-06
Q12122	YDL131W	5.99857E-06	5.92916E-06	6.465E-06	4.63762E-06	6.8315E-06	5.08847E-06	5.96328E-06	5.36804E-06	5.58781E-06	7.96305E-06	7.28873E-06	6.34662E-06
P48570	YDL182W	5.54329E-06	4.84228E-06	5.04709E-06	2.37277E-06	5.38839E-06	4.59798E-06	4.25562E-06	4.42442E-06	4.87167E-06	5.56657E-06	5.52545E-06	4.58674E-06
P39692	YFR030W	2.00214E-06	2.66863E-06	2.3498E-06	1.41388E-06	1.476E-06	1.57454E-06	2.14645E-06	2.10405E-06	2.51499E-06	2.89429E-06	2.62354E-06	2.35037E-06
P22515	YKL210W	2.35083E-06	1.80515E-06	2.1404E-06	2.44458E-06	2.44804E-06	2.5777E-06	1.77311E-06	1.62559E-06	1.88029E-06	2.84019E-06	2.77376E-06	2.85127E-06
P33416	YDR258C	3.41465E-06	3.4805E-06	3.59637E-06	4.46492E-06	4.01578E-06	4.6365E-06	2.69097E-06	2.72544E-06	2.59991E-06	1.77716E-06	2.35113E-06	2.49793E-06
P33442	YLR441C	1.52256E-05	1.58563E-05	1.28212E-05	1.56706E-05	1.15934E-05	1.57508E-05	1.4979E-05	1.43029E-05	1.49434E-05	1.99238E-05	1.9178E-05	1.44888E-05
P23248	YML063W	1.52256E-05	1.50187E-05	1.0952E-05	1.56706E-05	1.08601E-05	1.48274E-05	1.71502E-05	1.21525E-05	1.65698E-05	1.99238E-05	1.9178E-05	1.44888E-05
P40825	YOR335C	2.61541E-06	2.66584E-06	1.69789E-06	1.98149E-06	1.86551E-06	2.12234E-06	1.71618E-06	2.1838E-06	2.40455E-06	2.39444E-06	2.51923E-06	2.18245E-06
P14832	YDR155C	1.41601E-05	1.71282E-05	1.78527E-05	1.87095E-05	1.67677E-05	1.13788E-05	1.43185E-05	1.58511E-05	1.48697E-05	1.07634E-05	8.12199E-06	6.74216E-06
P53691	YLR216C	3.00889E-06	1.84361E-06	2.30382E-06	4.04256E-06	4.22017E-06	3.29926E-06	1.90848E-06	1.83805E-06	2.64434E-06	2.52022E-06	2.02939E-06	1.93639E-06
P25719	YML078W	1.65713E-06	1.54532E-06	1.50879E-06	1.44913E-06	2.0255E-06	1.81705E-06	1.5997E-06	2.8067E-06	1.45636E-06	1.388E-06	1.46034E-06	1.62308E-06
P35176	YDR304C	2.72204E-07	7.69906E-07	1.07444E-06	7.21983E-07	7.53703E-07	1.29395E-06	5.95258E-07	9.41882E-07	2.39224E-07	6.91526E-07	2.39878E-07	8.63257E-07
P04802	YLL018C	4.61109E-06	5.03387E-06	5.24678E-06	4.72053E-06	5.43014E-06	5.91903E-06	5.12437E-06	5.43576E-06	5.98525E-06	5.70432E-06	5.24183E-06	5.87178E-06
P09624	YFL018C	6.76203E-06	7.57317E-06	5.52252E-06	6.49732E-06	8.73789E-06	7.4146E-06	6.63353E-06	6.48194E-06	5.37679E-06	6.51029E-06	8.7666E-06	7.55659E-06
P06634	YOR204W	2.97783E-06	2.42993E-06	2.42777E-06	2.27868E-06	1.90192E-06	1.76114E-06	2.01117E-06	2.37678E-06	2.13275E-06	2.82122E-06	2.45819E-06	2.46397E-06
P20447	YGL078C	4.09509E-07	3.81879E-07	5.32927E-07	2.67462E-07	1.95346E-07	2.34634E-07	5.65035E-07	5.18026E-07	5.70392E-07	5.4362E-07	4.61877E-07	2.23741E-07
P24784	YPL119C	3.14307E-07	9.66351E-08	2.13735E-07	6.22638E-07	4.54755E-07	6.59551E-07	2.26612E-07	1.31087E-07	9.10714E-08	1.96623E-07	1.44733E-07	1.20144E-07
0	0	4.12282E-07	2.68983E-07	4.80434E-07	8.31631E-08	8.6817E-08	1.04278E-07	7.61654E-07	8.43175E-07	4.85128E-07	7.96552E-08	2.5419E-07	6.39996E-07
P39976	YEL071W	2.14286E-06	2.20193E-06	1.60569E-06	1.8739E-06	2.15559E-06	1.28978E-06	1.54498E-06	2.06522E-06	1.69839E-06	2.56542E-06	5.16541E-06	3.62238E-06
P46681	YDL178W	6.35359E-07	5.92491E-07	6.1755E-07	5.5561E-07	8.2904E-07	5.62598E-07	6.54756E-07	8.44307E-07	6.74239E-07	5.32172E-07	5.59907E-07	6.64329E-07
P31116	YJR139C	1.25865E-05	1.33887E-05	1.05988E-05	9.53577E-06	1.09692E-05	6.56336E-06	9.91896E-06	1.09806E-05	1.26179E-05	1.30548E-05	1.37351E-05	1.3281E-05
P39954	YER043C	7.2446E-06	7.10802E-06	7.1144E-06	4.2057E-06	4.99066E-06	6.3677E-06	4.69439E-06	4.91296E-06	6.04129E-06	6.70675E-06	5.73781E-06	5.29965E-06
P36008	YKL081W	3.17789E-06	2.42542E-06	2.80314E-06	3.04528E-06	3.46648E-06	2.85191E-06	2.97203E-06	2.53646E-06	2.79286E-06	3.18051E-06	3.06883E-06	3.26043E-06
P29547	YPL048W	2.30206E-06	2.14673E-06	3.46549E-06	3.28225E-06	3.42645E-06	3.44434E-06	2.26477E-06	2.27529E-06	2.02314E-06	3.97533E-06	4.1825E-06	2.29788E-06
Q01217	YER069W	3.82802E-06	3.15091E-06	3.03219E-06	2.46029E-06	2.82206E-06	2.64842E-06	2.98416E-06	2.69689E-06	2.96951E-06	1.51097E-06	1.79814E-06	1.95918E-06
P14126	YOR063W	8.25956E-06	7.70227E-06	1.05517E-05	6.44212E-06	7.54017E-06	6.68968E-06	1.11875E-05	8.10728E-06	8.92682E-06	6.91814E-06	8.09874E-06	8.54102E-06
Q12363	YOR230W	6.7996E-06	8.17953E-06	6.82925E-06	8.0347E-06	9.56788E-06	7.8716E-06	5.73916E-06	6.35344E-06	8.07476E-06	3.14197E-06	3.85057E-06	2.74411E-06
P16140	YBR127C	5.19531E-06	5.11496E-06	4.1359E-06	4.29504E-06	4.48374E-06	4.20785E-06	4.60649E-06	4.37794E-06	4.31645E-06	5.35148E-06	4.57834E-06	5.85804E-06
P12709	YBR196C	2.77436E-06	2.58717E-06	3.5192E-06	3.41501E-06	3.78707E-06	4.28206E-06	3.54043E-06	2.74211E-06	3.22319E-06	5.02543E-06	4.79833E-06	6.1557E-06
P38011	YMR116C	1.4517E-05	1.54998E-05	1.22965E-05	9.84114E-06	1.08465E-05	1.30279E-05	1.14695E-05	1.32664E-05	1.21628E-05	1.15919E-05	1.40188E-05	1.21589E-05
P09436	YBL076C	1.35745E-06	1.34469E-06	1.09941E-06	1.26099E-06	1.90391E-06	1.87162E-06	1.16565E-06	1.08346E-06	1.66336E-06	1.58529E-06	1.75212E-06	1.52565E-06
P04840	YNL055C	1.43916E-05	1.20173E-05	1.31034E-05	1.68505E-05	1.83795E-05	1.10405E-05	1.20865E-05	1.33801E-05	1.54538E-05	9.00309E-06	1.00861E-05	1.16738E-05
P32316	YBL015W	3.48709E-06	3.48107E-06	4.0232E-06	4.66588E-06	8.3469E-06	6.1658E-06	4.48097E-06	4.96057E-06	5.19949E-06	7.08295E-06	9.32054E-06	8.8419E-06
P00890	YNR001C	1.2438E-06	3.02018E-06	1.69789E-06	2.83219E-06	3.95865E-06	3.83974E-06	5.98322E-06	2.585E-06	5.15937E-06	1.02908E-05	5.75634E-06	6.34288E-06
