sol_dist1,sol_dist2,sol_dist3,sol_dist4,sol_dist5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.080020128992626,0.0846124242854995,0.0756242574769701,0.0418614716612305,0.0616303378894923
0,0,0,0,0
0.080020128992626,0.0846124242854995,0.0756242574769701,0.0418614716612305,0.0616303378894923
0.00702890058667291,0.00666541297974889,0.00737684093363858,0.0100492200897212,0.0084844823238238
0,0,0,0,0
0,0,0,0,0
9.8999901e-05,9.8999901e-05,9.8999901e-05,9.8999901e-05,9.8999901e-05
9.8999901e-05,9.8999901e-05,9.8999901e-05,9.8999901e-05,9.8999901e-05
0.0204293988393947,0.0193729273182144,0.0214406824722799,0.0292079141974249,0.0246600263016719
0,0,0,0,0
0.0204293988393947,0.0193729273182144,0.0214406824722799,0.0292079141974249,0.0246600263016719
0,0,0,0,0
0.0303419509488052,0.0287728686999115,0.0318439196863856,0.0433798912470317,0.0366253218865516
0.0303419509488052,0.0287728686999115,0.0318439196863856,0.0433798912470317,0.0366253218865516
0,0,0,0,0
0,0,0,0,0
0.028020187406601,0.0265711711998135,0.029407225622333,0.0400604656065355,0.0338227553270985
0,0,0,0,0
0.0314233202698318,0.0297983168506421,0.0329788182915607,0.0449259251069888,0.0379306268594476
0.0303419509488052,0.0287728686999115,0.0318439196863856,0.0433798912470317,0.0366253218865516
0.0314233202698318,0.0297983168506421,0.0329788182915607,0.0449259251069888,0.0379306268594476
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.028020187406601,0.0265711711998135,0.029407225622333,0.0400604656065355,0.0338227553270985
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.00989899010099857,0.00989899010099999,0.00989899010099698,0.00989899010099907,0.00989899010100606
0.00722792159040281,0.00694996047922563,0.00749399362043539,0.00953757768096913,0.00834101350704761
0.00722792159040281,0.00694996047922563,0.00749399362043539,0.00953757768096913,0.00834101350704761
0,0,0,0,0
7.999992e-07,7.999992e-07,7.999992e-07,7.999992e-07,7.999992e-07
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.00131520290668696,0,0.00228650791773176,0.104731116476703,0.0426038500557685
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0594753126564631,0.056399648290183,0.0624194232846341,0.0850318622976407,0.0717917735092783
0.0594753126564631,0.056399648290183,0.0624194232846341,0.0850318622976407,0.0717917735092783
0,0,0,0,0
0.0594753126564631,0.056399648290183,0.0624194232846341,0.0850318622976407,0.0717917735092783
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0041102958897,0.0041102958897,0.0041102958897,0.0041102958897,0.0041102958897
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0161819309388153,0.0161819309388153,0.0161819309388154,0.0161819309388154,0.0161819309388153
0,0,0,0,0
0.0244200501184156,0.0241059101194657,0.0247207535761082,0.0270303266380066,0.0256780199547179
0.0244200501184156,0.0241059101194657,0.0247207535761082,0.0270303266380066,0.0256780199547179
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.017036867636174,0.0161558350806282,0.0178802162599656,0.0243576118916771,0.0205649518769002
0,0,0,0,0
0,0,0,0,0
