H2O	O
H+	[HH]
oxygen	O=O
hydrogen peroxide	OO
ammonium	[NH4+]
phosphate	[O-]P(=O)([O-])[O-]
diphosphate	[O-]P(=O)([O-])OP(=O)([O-])[O-]
sulphate	[O-]S(=O)(=O)[O-]
hydrogen sulfide	[S]
thiosulfate	O=S(=O)([O-])S
potassium	[K+]
sodium	[Na+]
chloride	[Cl-]
Mg(2+)	[Mg+2]
Mn(2+)	[Mn+2]
Zn(2+)	[Zn+2]
Ca(2+)	[Ca+2]
Cu2(+)	[Cu].[Cu]
iron(2+)	[Fe+2]
iron(3+)	[Fe+3]
