uniprot	level
P17555	1.60E-06
P36046	9.30E-07
Q02753	3.70E-06
Q12672	2.525E-07
P41807	1.29E-06
P27614	2.47E-06
Q04491	2.57E-06
(P0CX53-P0CX54)	1.23E-05
P40212	1.08E-05
Q03940	3.17E-06
P47079	2.37E-06
P38247	1.54E-06
P12683	2.42E-06
(P0CX29-P0CX30)	1.63E-05
P52893	1.85E-06
Q01532	8.24E-06
P16550	1.08E-06
P24276	4.95E-07
P38631	6.62E-07
P40989	9.17E-08
P27616	4.40E-06
P09064	1.83E-06
P28777	3.33E-06
P07278	3.28E-06
Q03048	1.33E-05
Q12377	3.75E-06
P19262	3.61E-06
P38205	3.84E-06
P40991	1.89E-06
P32499	1.92E-06
Q12329	3.61E-06
P02406	1.23E-05
P30952	3.26E-06
P39958	2.61E-06
P49095	2.20E-06
P10080	3.99E-06
P34227	3.95E-06
Q3E757	2.20E-05
P36010	5.17E-06
P29952	2.48E-06
P53297	4.89E-07
P42943	1.46E-06
P35191	6.10E-06
Q12118	4.18E-06
P14904	2.61E-06
P21242	4.82E-06
P34223	6.91E-07
Q04636	9.54E-07
Q08723	4.41E-06
P40016	1.96E-06
Q04458	3.74E-06
P40075	2.98E-06
P07143	4.99E-06
P02557	3.67E-06
P47039	2.12E-06
P07170	6.85E-06
P15700	1.39E-06
P40053	1.20E-06
0	2.35E-06
P14020	3.21E-06
P53839	4.56E-06
Q01560	6.66E-06
(P0CX42-P0CX41)	7.12E-06
P41277	6.77E-07
P40106	4.04E-06
P38431	2.77E-06
P23644	4.53E-06
P33338	4.67E-07
P32598	1.68E-06
P26570	3.79E-08
P08518	4.90E-07
Q04728	2.64E-06
P32628	1.69E-06
P40008	5.00E-06
P39683	2.16E-06
P23180	1.58E-06
P40327	1.29E-06
0	5.65E-06
Q12031	2.91E-06
Q02196	3.24E-06
P06115	2.91E-06
Q03102	3.45E-06
P17423	3.85E-06
P54783	1.42E-06
Q12462	4.25E-06
Q04336	7.63E-07
P40017	1.03E-06
P12612	2.84E-06
P36421	3.86E-06
P06780	4.77E-06
P17649	8.75E-07
P25567	5.32E-07
P41921	1.87E-06
P20459	3.31E-06
P40303	1.72E-06
P05740	1.13E-06
P46990	5.46E-07
P40010	9.60E-07
P32835	1.26E-06
P32836	3.35E-07
P32468	8.06E-07
P48589	7.07E-06
Q04894	2.71E-06
P00447	5.76E-06
P53885	1.98E-06
Q12464	1.29E-06
P47120	1.87E-06
P00498	2.35E-06
P37262	1.02E-06
P50278	2.89E-06
Q12480	2.92E-06
P20449	1.01E-06
P12385	3.30E-06
P14306	3.56E-06
P07277	8.32E-07
P35732	3.45E-06
P05755	5.81E-06
0	5.59E-07
P36148	9.28E-07
P38988	3.59E-06
P13298	3.41E-06
Q05016	5.29E-06
P20606	5.21E-06
P40850	5.81E-07
P38624	2.86E-06
P22336	1.52E-06
P25293	2.27E-06
Q06494	1.22E-06
P01120	2.21E-06
P01119	2.99E-07
P38075	1.39E-06
Q12074	2.41E-06
P32179	1.36E-06
P32368	5.60E-07
P10963	7.34E-07
P15424	7.95E-07
P02294	9.09E-06
P38911	2.30E-06
Q06205	2.14E-06
P32521	5.60E-07
P22146	1.99E-06
P09457	4.36E-06
Q12250	1.02E-06
Q04062	2.17E-06
Q03161	1.75E-06
P53849	8.42E-07
Q06103	2.37E-06
(P0CX52-P0CX51)	4.32E-06
P32263	3.30E-06
Q10740	1.38E-06
P31383	7.62E-07
Q08971	2.23E-06
Q02046	3.34E-06
P21524	1.35E-06
Q12154	1.98E-06
P22147	8.18E-07
P38081	2.86E-06
(P0CX24-P0CX23)	8.28E-06
P29704	2.81E-06
P32602	2.65E-06
P40413	8.20E-07
P11353	2.17E-06
P38795	4.89E-07
P35691	1.14E-05
P39986	5.61E-07
P10614	1.54E-06
P38328	8.52E-07
P00729	1.42E-06
Q04013	2.00E-06
P50085	2.22E-06
P14843	2.49E-06
P32379	3.63E-06
P53852	8.86E-07
Q12189	3.38E-06
P38295	3.00E-06
P53172	9.09E-07
P38250	1.13E-06
P53235	6.34E-07
P05373	1.34E-06
P20081	1.43E-05
P43588	2.22E-06
Q99287	9.59E-07
P23639	4.27E-06
Q07505	1.40E-06
P53303	8.16E-07
Q12068	5.58E-07
Q05905	9.29E-06
P32573	3.61E-06
P07172	2.13E-06
P38694	4.41E-07
P07703	2.29E-06
P36114	7.89E-07
P32771	2.13E-06
Q06142	8.58E-07
P40093	1.86E-06
P48015	2.03E-06
P08067	3.09E-06
P38687	4.29E-07
P36017	7.30E-06
P36018	3.58E-07
P39926	1.42E-06
P32867	0.000000211
(P0CX85-P0CX84)	2.18E-05
P38616	3.40E-06
P40364	1.43E-06
Q03862	6.97E-07
P32471	4.85E-06
P39966	7.93E-07
P34221	2.51E-07
P04037	1.93E-06
P25613	2.25E-06
P32907	5.18E-07
P25375	9.67E-07
P51996	4.33E-07
P38555	2.25E-07
Q12305	5.56E-06
P36049	8.30E-07
P38230	2.28E-06
Q04067	7.98E-07
P25451	1.66E-06
(P0CX49-P0CX50)	1.10E-05
Q12265	9.71E-07
Q04178	2.25E-06
P47165	0.000000367
P15873	1.29E-06
P27692	5.72E-07
P32787	1.45E-06
P11745	1.71E-06
P38067	6.62E-07
P38061	1.33E-05
P32608	4.26E-07
0	2.88E-07
0	2.72E-07
P38314	1.30E-06
P41058	7.42E-06
P41057	1.63E-06
P33399	9.57E-07
P53199	6.72E-06
P24280	7.26E-07
P53184	2.19E-06
P38791	2.59E-07
P32898	6.88E-07
P38741	6.02E-07
P53731	8.48E-07
P40471	3.00E-06
Q08686	1.03E-06
O14467	3.00E-06
P00128	3.44E-06
P05744	4.07E-06
P41056	1.11E-06
Q99383	1.62E-06
P32381	1.20E-06
Q3E792	9.44E-06
P36041	7.03E-07
P36139	1.58E-06
P38886	2.06E-06
P05626	3.22E-06
P32332	9.05E-07
P23776	1.78E-06
P30656	2.38E-06
Q01852	8.05E-07
P53081	1.34E-06
P39714	2.72E-06
P05756	5.53E-06
Q08179	1.62E-06
Q12029	6.17E-07
P25039	1.03E-06
0	1.14E-05
P21304	7.71E-07
P40029	3.46E-06
P36015	1.99E-06
Q12447	2.04E-06
P53250	1.31E-06
P32563	5.75E-07
P40363	1.25E-06
P00044	7.39E-06
Q12109	1.12E-06
Q06892	2.23E-06
P40893	4.12E-06
P38817	1.83E-06
0	6.88E-06
P47137	9.70E-07
Q04439	3.87E-07
P36006	1.93E-07
P21965	7.25E-07
P12688	0.000000266
P18961	1.14E-07
P40513	4.17E-06
P07260	1.57E-06
P53075	1.10E-06
P32485	4.40E-07
Q00772	2.63E-07
P53334	1.44E-06
P39517	6.54E-07
Q02892	4.72E-07
Q96VH4	7.02E-07
P38264	4.48E-06
Q04371	4.31E-07
P38821	9.68E-07
P47018	5.22E-07
P43123	6.76E-07
P53633	2.11E-06
P53723	9.52E-07
P53128	4.90E-07
P23638	1.66E-06
P12945	3.25E-07
P33201	1.34E-06
P32366	8.92E-07
P40961	1.16E-06
P15454	4.22E-06
P33775	1.71E-07
P00427	1.52E-06
Q08208	3.36E-07
Q12434	1.01E-06
P38353	4.26E-07
Q05359	2.91E-06
0	1.79923E-05
P30822	4.23E-07
Q06625	1.05E-06
P20485	3.67E-07
P07274	5.73E-06
P21734	5.93E-07
0	1.26E-06
P38152	1.05E-06
P38248	2.94E-06
P48837	4.61E-07
P40165	3.15E-06
P32843	5.34E-07
P41903	1.50E-06
P32795	7.07E-07
P38912	2.39E-06
Q01662	6.45E-07
P23291	2.82E-07
P29295	2.91E-07
P39962	4.53E-07
P53101	8.00E-07
P19454	3.62E-07
P32895	3.99E-06
P0C2H8	2.53E-06
P04456	7.59E-06
Q12117	5.42E-07
P38079	1.09E-06
Q00245	1.61E-06
Q04225	7.33E-07
P38626	6.53E-07
P14906	5.63E-07
Q03104	1.39E-06
P25342	4.55E-07
P22803	2.66E-06
P22217	2.52E-06
P32356	1.61E-06
P12962	1.64E-06
Q05515	1.22E-06
P02400	2.64E-06
P38836	3.09E-07
P35197	5.39E-07
Q08968	2.98E-07
P32803	1.80E-06
P50107	1.23E-06
Q08818	4.45E-07
Q12207	1.57E-05
P38996	8.79E-07
Q03532	1.68E-06
Q03028	1.06E-06
P38260	1.75E-06
P23724	2.52E-06
P38755	4.20E-07
Q02201	1.56E-07
P39968	2.25E-06
Q06489	3.88E-07
P14922	8.06E-07
P32335	4.93E-07
P05749	1.99E-06
P56628	1.73E-06
P53295	7.59E-07
P15274	6.08E-07
P47096	2.19E-06
P32458	1.52E-06
P27472	2.01E-07
P23337	2.29E-07
P40506	5.65E-07
P38810	1.20E-07
Q04697	1.16E-06
P39729	1.10E-06
P47085	1.11E-06
P42940	1.49E-06
P22943	2.42E-06
P22133	2.19E-06
P42938	3.32E-07
P49334	2.37E-06
P43621	9.22E-07
P22141	3.86E-06
P49954	9.32E-07
P32588	2.76E-06
P53615	1.42E-06
Q02776	6.82E-07
P26754	3.10E-07
Q03835	2.02E-06
P32642	0.000000104
Q07451	1.10E-06
Q07623	7.55E-07
Q04410	9.22E-07
Q99258	1.88E-06
P07280	1.98E-06
Q01163	2.35E-07
P38922	7.45E-07
P32469	5.36E-07
P38858	2.23E-06
Q12165	1.62E-06
P53011	6.54E-07
P38861	1.16E-06
0	6.29E-06
Q05979	1.27E-06
P48362	1.22E-06
P53981	1.97E-06
P18562	1.82E-06
P36534	1.02E-06
P39101	2.06E-06
P40581	1.90E-06
P39939	1.56E-05
P38840	1.54E-06
P40159	1.06E-06
P53879	1.41E-06
