Unicode,enz_pos,rxn_pos,Organism,Modified,Parameter,oldValue,newValue,error,gRControlCoeff
P38604,2873,3194,bos taurus,1,SA*Mw,0.001937,4.07633,-39.8591,1.01103
P38972,2331,2437,escherichia coli,1,SA*Mw,0.05,5.06748,-25.9868,0.233217
P00931,3120,3593,salmonella enterica subsp. enterica serovar typhimurium,1,SA*Mw,0.0223,775.75,-18.694,0.098423
P48445,2353,2477,staphylococcus aureus,1,K_cat,1.23,450000,-13.198,0.067524
P05694,2337,3224,escherichia coli,1,SA*Mw,0.33,3.5,-9.27775,0.050048
P39006,3244,4097,escherichia coli,1,SA*Mw,0.053333,366.667,-5.15571,0.045393
P33312,2262,2355,methanocaldococcus jannaschii,0,SA*Mw,0.000667,0.000667,-5.15571,0.046197
P36148,3187,3821,escherichia coli,1,SA*Mw,0.0918,9.97333,-1.19824,0.042087
