prot_IDs	usage
prot_P00044_exchange	2.93724930407389e-06
prot_P00127_exchange	1
prot_P00128_exchange	1
prot_P00163_exchange	1
prot_P00175_exchange	0
prot_P00358_exchange	0
prot_P00359_exchange	0
prot_P00360_exchange	1
prot_P00401_exchange	1
prot_P00410_exchange	1
prot_P00420_exchange	1
prot_P00425_exchange	1
prot_P00427_exchange	1
prot_P00431_exchange	0
prot_P00498_exchange	0.286802849907364
prot_P00549_exchange	0.0377430624050142
prot_P00560_exchange	0.0137197424319473
prot_P00724_exchange	0
prot_P00812_exchange	0
prot_P00815_exchange	0.00833598653279621
prot_P00817_exchange	0
prot_P00830_exchange	0.0767008168565187
prot_P00854_exchange	0.747827876097624
prot_P00856_exchange	0.747827876097624
prot_P00890_exchange	0.0199565678633072
prot_P00899_exchange	0.474073039073653
prot_P00924_exchange	0.0250798978346429
prot_P00927_exchange	0.0125114145027228
prot_P00931_exchange	1
prot_P00937_exchange	0.381285963030747
prot_P00942_exchange	0.000792998156997431
prot_P00950_exchange	0.0779007483108899
prot_P00958_exchange	0.837143945974458
prot_P03962_exchange	0.0071922812811293
prot_P03965_exchange	0.000492251568918073
prot_P04037_exchange	1
prot_P04039_exchange	1
prot_P04046_exchange	0.0195292460607922
prot_P04076_exchange	0.000371272289928383
prot_P04161_exchange	0.675313545246512
prot_P04801_exchange	0.787300134132594
prot_P04802_exchange	0.235477492905449
prot_P04806_exchange	0
prot_P04807_exchange	0
prot_P05030_exchange	0
prot_P05150_exchange	0.0118155081574254
prot_P05373_exchange	6.00299622012063e-05
prot_P05375_exchange	0.306381730954889
prot_P05626_exchange	0.747827876097624
prot_P05694_exchange	0.66125286406033
prot_P06106_exchange	0.0027093601859444
prot_P06115_exchange	0
prot_P06168_exchange	0.220566837784348
prot_P06169_exchange	0.0262210512643251
prot_P06197_exchange	0.494090112152256
prot_P06208_exchange	0.0999381045544995
prot_P06633_exchange	0.0011080017385154
prot_P06738_exchange	0
prot_P06785_exchange	0.0108256265374511
prot_P07143_exchange	1
prot_P07149_exchange	0.36646893989492
prot_P07170_exchange	0.509699948425716
prot_P07172_exchange	0.000259031486807935
prot_P07244_exchange	0.194898509919391
prot_P07245_exchange	0.265502038396247
prot_P07246_exchange	0
prot_P07251_exchange	0.0767008168565187
prot_P07255_exchange	1
prot_P07256_exchange	1
prot_P07257_exchange	1
prot_P07258_exchange	0.00327180802096785
prot_P07259_exchange	0.00183533899034587
prot_P07262_exchange	0.607726088982345
prot_P07263_exchange	0.0303975395873057
prot_P07264_exchange	0.345866492224029
prot_P07275_exchange	0
prot_P07277_exchange	0.286991941245018
prot_P07283_exchange	1
prot_P07284_exchange	0.0799236401039137
prot_P07285_exchange	0.206748188584291
prot_P07342_exchange	0.304688171889982
prot_P07347_exchange	0
prot_P07702_exchange	0.111561179820151
prot_P07806_exchange	0.0492609150601512
prot_P07991_exchange	0.00902434392975932
prot_P08067_exchange	1
prot_P08417_exchange	0.00145121695603479
prot_P08456_exchange	0.0129632889100306
prot_P08465_exchange	0.333596113284628
prot_P08524_exchange	0.31187185065885
prot_P08525_exchange	1
prot_P08536_exchange	0
prot_P08566_exchange	0.218044650154502
prot_P08679_exchange	0
prot_P09201_exchange	0
prot_P09436_exchange	0.0268148925964663
prot_P09440_exchange	0
prot_P09457_exchange	0.747827876097624
prot_P09624_exchange	0.0537332344575365
prot_P09938_exchange	0
prot_P10174_exchange	1
prot_P10614_exchange	0.169605007022779
prot_P10659_exchange	1
prot_P10869_exchange	0.0114847490115299
prot_P10963_exchange	0
prot_P11154_exchange	0.200049524606248
prot_P11353_exchange	0.000618580545028391
prot_P11412_exchange	0.0109942386778584
prot_P11986_exchange	0.120790834227931
prot_P12683_exchange	0.0417167550043391
prot_P12695_exchange	0.111384334112252
prot_P12709_exchange	0.0337290528970998
prot_P12945_exchange	0
prot_P13188_exchange	0.530921469435326
prot_P13259_exchange	0
prot_P13298_exchange	0.0692727180802348
prot_P13663_exchange	0.00634851070229026
prot_P13711_exchange	0
prot_P14020_exchange	0.0678930017623801
prot_P14065_exchange	0
prot_P14540_exchange	0.157844561399838
prot_P14742_exchange	0
prot_P14843_exchange	0.0207768958092359
prot_P15019_exchange	0
prot_P15180_exchange	0.0330212360938095
prot_P15202_exchange	0
prot_P15274_exchange	0
prot_P15454_exchange	7.99093391406556e-05
prot_P15496_exchange	3.74058381931628e-05
prot_P15624_exchange	0.00264278242660153
prot_P15625_exchange	0.00303204174221422
prot_P15700_exchange	0.00303623183241834
prot_P15703_exchange	0
prot_P16120_exchange	0.000431568688312147
prot_P16140_exchange	0
prot_P16387_exchange	0.0805401092139409
prot_P16550_exchange	0.0123799334642983
prot_P16603_exchange	0.0959930156660387
prot_P16622_exchange	7.37690857372439e-05
prot_P16861_exchange	0
prot_P16862_exchange	0.159367779390485
prot_P17255_exchange	0
prot_P17423_exchange	0.0650918053713571
prot_P17505_exchange	0.0180510318902582
prot_P17649_exchange	0
prot_P17709_exchange	0.166175369737471
prot_P18544_exchange	1
prot_P18562_exchange	0
prot_P19097_exchange	0.40776680308739
prot_P19262_exchange	0
prot_P19358_exchange	0
prot_P19414_exchange	0.0210142738185103
prot_P19516_exchange	1
prot_P19657_exchange	0
prot_P20051_exchange	0.566858173499052
prot_P20485_exchange	0
prot_P20967_exchange	0
prot_P21147_exchange	1
prot_P21264_exchange	0.0216419263400161
prot_P21306_exchange	0.747827876097624
prot_P21524_exchange	0.140027963345865
prot_P21801_exchange	0.00598071638633997
prot_P21954_exchange	0.138695015780098
prot_P22133_exchange	0.00164108309072795
prot_P22289_exchange	1
prot_P22768_exchange	0.0156852374698591
prot_P22803_exchange	0.142727808737498
prot_P23202_exchange	0
prot_P23254_exchange	0.00325368646437212
prot_P23337_exchange	0.0660962354678626
prot_P23542_exchange	0.0152944320377617
prot_P23776_exchange	0
prot_P23797_exchange	0
prot_P24521_exchange	1
prot_P25045_exchange	0
prot_P25087_exchange	0
prot_P25332_exchange	0
prot_P25335_exchange	0
prot_P25340_exchange	0.792339888465303
prot_P25358_exchange	1
prot_P25372_exchange	0
prot_P25605_exchange	0
prot_P26263_exchange	0
prot_P26637_exchange	0.131426068968377
prot_P27616_exchange	0.00648923567898821
prot_P27796_exchange	0
prot_P27810_exchange	0
prot_P28240_exchange	0
prot_P28241_exchange	0
prot_P28274_exchange	0
prot_P28321_exchange	0
prot_P28777_exchange	0.837145216059285
prot_P28834_exchange	0
prot_P29509_exchange	0.0170004226132542
prot_P29704_exchange	0.178938410536959
prot_P29952_exchange	0.0460472475201583
prot_P30624_exchange	0
