uniprotID_S288c	Standard _A	Standard _B	Standard _C
P00359	5.58E-01	8.08E-01	8.22E-01
P00358	3.40E-02	4.55E-02	3.18E-02
P00360	2.89E-01	3.51E-01	3.16E-01
P46367	5.05E+00	5.32E+00	5.22E+00
P40047	1.67E-01	1.48E-01	1.54E-01
P02994	7.998475512	7.472828814	8.245538466
P19097	1.42E+00	1.43E+00	1.43E+00
P07259	1.21E+00	1.08E+00	1.18E+00
P03965	6.41E-01	5.64E-01	6.53E-01
P00560	2.66E+00	2.90E+00	2.74E+00
P07149	1.59E+00	1.39E+00	1.60E+00
P05694	1.93E+00	1.97E+00	1.87E+00
P04806	6.56E-01	6.02E-01	4.79E-01
P04807	1.56E-01	1.74E-01	1.80E-01
P22202	1.01E-01	1.14E-01	1.16E-01
P09435	4.46E-01	4.65E-01	4.45E-01
P16474	4.44E-01	5.15E-01	4.45E-01
P32324	1.70E+00	1.67E+00	1.81E+00
P06169	1.84E+00	1.91E+00	1.89E+00
P26263	3.92E-02	3.12E-02	4.93E-02
Q00955	1.13E+00	1.16E+00	1.03E+00
Q01574	1.44E+00	1.39E+00	1.42E+00
P52910	3.02E-01	2.98E-01	2.88E-01
P00830	1.26E+00	1.40E+00	1.40E+00
P16861	4.18E-01	4.33E-01	4.35E-01
P16862	4.45E-01	4.44E-01	4.51E-01
P00549	1.47E+00	1.57E+00	1.49E+00
P52489	2.19E-03	2.14E-03	8.67E-03
Q02207	5.10E-01	5.73E-01	5.90E-01
P06105	2.44E-01	2.63E-01	2.57E-01
P16521	8.68E-01	8.00E-01	8.80E-01
P53978	1.26E-01	1.25E-01	1.44E-01
P19414	7.71E-01	8.20E-01	8.04E-01
P39533	3.21E-01	3.33E-01	3.45E-01
P54115	1.31E+00	1.33E+00	1.28E+00
P02829	1.08E+00	1.90E+00	1.65E+00
P00924	1.80E+00	2.08E+00	1.95E+00
P38689	5.76E-02	6.15E-02	6.57E-02
P38620	NaN	NaN	NaN
P14540	1.44E+00	1.66E+00	1.66E+00
P31539	1.08E+00	1.09E+00	1.04E+00
P32589	7.33E-01	7.63E-01	7.26E-01
P32590	2.55E-01	2.61E-01	2.61E-01
P06168	1.30E+00	1.32E+00	1.28E+00
P38009	2.66E-01	2.91E-01	2.65E-01
P54113	8.75E-02	8.36E-02	8.03E-02
P0CS90	1.31E+00	1.34E+00	1.33E+00
P07262	4.46E-01	4.91E-01	4.93E-01
P39708	2.28E-02	2.17E-02	2.00E-02
P47169	6.79E-01	7.32E-01	7.03E-01
P19358	4.17E-01	4.61E-01	4.08E-01
P10659	1.84E-01	1.92E-01	1.85E-01
P07251	1.45E+00	1.69E+00	1.44E+00
P07245	4.72E-01	4.86E-01	5.21E-01
P09440	2.10E-02	1.93E-02	3.10E-02
P17255	5.13E-01	5.55E-01	5.33E-01
P38720	7.50E-01	7.44E-01	6.91E-01
P53319	2.57E-01	2.60E-01	2.68E-01
