Species,Substrate,Uptake,sub,ace,eth,gly,pyr,ethyl_acetate,co2,o2,Unused1,Unused2,OxAvail,Unused3,Media
Saccharomyces_cerevisiae,D-glucose,0.36,13.3333333333333,NaN,19.8260869565217,0.38,0,0,NaN,NaN,30,NaN,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.39,15.4444444444444,NaN,22.4068322981366,0.37,0,0,NaN,NaN,37,NaN,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.37,19.5555555555556,NaN,NaN,NaN,0,0,NaN,NaN,30,NaN,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.37,14.8,0.4,22,1.1,0,0,NaN,NaN,30,5,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.38,15.0555555555556,NaN,NaN,NaN,0,0,NaN,NaN,30,5,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.35,17.6666666666667,NaN,23.5177865612648,0.34,0,0,NaN,NaN,30,NaN,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.37,11.2,0.43,15.74,0.12,0,0,19.58,NaN,30,NaN,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.37,13.6666666666667,NaN,NaN,NaN,0,0,NaN,NaN,30,5,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.38,17.5555555555556,NaN,28.2246376811594,0.41,0,0,NaN,NaN,37,NaN,aerobic,Batch,MIN
Saccharomyces_cerevisiae,D-glucose,0.32,25.3888888888889,NaN,42.7329192546584,0.43,0,0,NaN,NaN,30,NaN,limited,Batch,MIN
Saccharomyces_cerevisiae,D-fructose,0.1,6.88888888888889,NaN,11.1413043478261,0.41,0,0,NaN,0,30,NaN,anaerobic,Batch,MIN
Saccharomyces_cerevisiae,D-fructose,0.25,12.4444444444444,NaN,20.2569169960474,0.41,0,0,NaN,0,30,NaN,anaerobic,Batch,MIN
Saccharomyces_cerevisiae,sucrose,0.32,6.0765410458662,NaN,19.9420289855072,NaN,0,0,NaN,0,30,NaN,anaerobic,Batch,MIN
