Condition	Ptot	grRate	glucose (r_1714)	fructose (r_1709)	sucrose (r_2058)	acetate (r_1634)	ethanol (r_1761)	galactose (r_1710)	maltose (r_1931)	sucrose (r_2058)	mannose (r_1715)	bayesianRMSEweight	source
fructose	NaN	0.338	NaN	-1000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	DLKcat
glucose	NaN	0.41	-1000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	DLKcat
ethanol	NaN	0.12	NaN	NaN	NaN	NaN	-1000	NaN	NaN	NaN	NaN	1	DLKcat
mannose	NaN	0.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1000	1	DLKcat
galactose	NaN	0.28	NaN	NaN	NaN	NaN	NaN	-1000	NaN	NaN	NaN	1	DLKcat
acetate	NaN	0.17	NaN	NaN	NaN	-1000	NaN	NaN	NaN	NaN	NaN	1	DLKcat
maltose	NaN	0.4	NaN	NaN	NaN	NaN	NaN	NaN	-1000	NaN	NaN	1	DLKcat
sucrose	NaN	0.39	NaN	NaN	-1000	NaN	NaN	NaN	NaN	-1000	NaN	1	DLKcat
