Condition	Ptot	grRate	glucose (r_1714)	fructose (r_1709)	sucrose (r_2058)	xylose (r_1718)	CO2 (r_1672)	oxygen (r_1992)	pyruvate (r_2033)	ethyl acetate (r_1765)	glycerol (r_1808)	acetate (r_1634)	ethanol (r_1761)	succinate (r_2056)	bayesianRMSEweight	source
glucose	NaN	0.36	-13.33333333	0	0	0	NaN	NaN	0	0	0.38	NaN	19.82608696	NaN	1	DLKcat
glucose	NaN	0.39	-15.44444444	0	0	0	NaN	NaN	0	0	0.37	NaN	22.4068323	NaN	1	DLKcat
glucose	NaN	0.37	-19.55555556	0	0	0	NaN	NaN	0	0	NaN	NaN	NaN	NaN	1	DLKcat
glucose	NaN	0.37	-14.8	0	0	0	NaN	NaN	0	0	1.1	0.4	22	NaN	1	DLKcat
glucose	NaN	0.38	-15.05555556	0	0	0	NaN	NaN	0	0	NaN	NaN	NaN	NaN	1	DLKcat
glucose	NaN	0.35	-17.66666667	0	0	0	NaN	NaN	0	0	0.34	NaN	23.51778656	NaN	1	DLKcat
glucose	NaN	0.37	-11.2	0	0	0	19.58	NaN	0	0	0.12	0.43	15.74	NaN	1	DLKcat
glucose	NaN	0.37	-13.66666667	0	0	0	NaN	NaN	0	0	NaN	NaN	NaN	NaN	1	DLKcat
glucose	NaN	0.38	-17.55555556	0	0	0	NaN	NaN	0	0	0.41	NaN	28.22463768	NaN	1	DLKcat
glucose	NaN	0.32	-25.38888889	0	0	0	NaN	NaN	0	0	0.43	NaN	42.73291925	NaN	1	DLKcat
fructose	NaN	0.1	0	-6.888888889	0	0	NaN	0	0	0	0.41	NaN	11.14130435	NaN	1	DLKcat
fructose	NaN	0.25	0	-12.44444444	0	0	NaN	0	0	0	0.41	NaN	20.256917	NaN	1	DLKcat
sucrose	NaN	0.32	0	0	-6.076541046	0	NaN	0	0	0	NaN	NaN	19.94202899	NaN	1	DLKcat
glucose	NaN	0.025	-0.3	0	0	0	0.75198	-0.73102	0	0	0	0	0	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.05	-0.6	0	0	0	1.3697	-1.3251	0	0	0	0	0	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.1	-1.1	0	0	0	2.4007	-2.3167	0	0	0	0	0	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.15	-1.7	0	0	0	3.6379	-3.5066	0	0	0	0	0	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.2	-2.3	0	0	0	4.8751	-4.6966	0	0	0	0	0	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.25	-2.8	0	0	0	5.906	-5.6881	0	0	0	0	0	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.28	-3.4	0	0	0	7.0413	-6.6773	0	0	0	0.08	0.11	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.3	-4.5	0	0	0	8.5667	-6.012	0	0	0	0.41	2.3	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.35	-8.6	0	0	0	15.2091	-5.3809	0	0	0	0.62	9.5	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.4	-11.1	0	0	0	19.3207	-5.0171	0	0	0	0.6	13.9	NaN	1	doi:10.1128/AEM.64.11.4226-4233.1998
glucose	NaN	0.4	-20.2	0	0	0	34.4	NaN	0	0	0	1	30	NaN	1	DLKcat
glucose	NaN	0.41	-14.22222222	0	0	0	NaN	NaN	0	0	0	NaN	25.625	NaN	1	DLKcat
glucose	NaN	0.1	-6.44	0	0	0	NaN	0	0	0	1.08	0	9.26	NaN	1	doi:10.1186/1752-0509-2-60
glucose	NaN	0.2449	-10.173	0	0	0	19.109	NaN	0	0	1.2908	0.212	15.494	NaN	1	doi:10.1002/bit.25447
glucose	NaN	0.2287	-13.492	0	0	0	27.31	0	0	0	2.9849	0.328	20.636	NaN	1	doi:10.1002/bit.25447
glucose	NaN	0.1	-6.0184	0	0	0	9.8220288	0	0.0120368	0	1.0351648	0.0240736	8.9734344	0.0270828	1	doi:10.1099/00221287-143-1-203
glucose	NaN	0.2	-11.5927	0	0	0	18.9888426	0	0.0463708	0	2.1098714	0.0695562	17.2499376	0.05216715	1	doi:10.1099/00221287-143-1-203
glucose	NaN	0.3	-17.0704	0	0	0	27.3467808	0	0.1024224	0	3.243376	0.2048448	25.2983328	0.0512112	1	doi:10.1099/00221287-143-1-203
glucose	NaN	0.4	-22.5483	0	0	0	35.3106378	0	0.1803864	0	4.9155294	0.450966	33.6195153	0.0676449	1	doi:10.1099/00221287-143-1-203
glucose	0.46	0.1	-1.0709285	0	0	0	2.627555	-2.446473	NaN	NaN	0.0008575	0	0	NaN	1	doi:10.1016/j.cels.2017.03.003 
