Drate	GlucoseUptake	O2uptake	CO2production
0.025	0.3	0.8	0.8
0.05	0.6	1.3	1.4
0.1	1.10	2.50	2.70
0.15	1.70	3.90	4.20
0.2	2.30	5.30	5.70
