rxns	spontaneous
MAR03905	0
MAR03907	0
MAR04097	0
MAR04099	0
MAR04108	0
MAR04133	0
MAR04281	0
MAR04388	0
MAR04283	0
MAR08357	0
MAR04379	0
MAR04301	0
MAR04355	0
MAR04358	0
MAR04360	0
MAR04363	0
MAR04365	0
MAR04368	0
MAR04370	0
MAR04371	0
MAR04372	0
MAR04373	0
MAR04375	0
MAR04377	0
MAR04381	0
MAR04391	0
MAR04394	0
MAR04396	0
MAR04521	0
MAR06412	0
MAR07745	0
MAR07747	0
MAR08360	0
MAR08652	0
MAR08757	0
MAR03989	0
MAR04122	0
MAR04837	0
MAR05395	0
MAR05396	0
MAR09727	0
MAR05397	0
MAR05398	0
MAR05399	0
MAR05400	0
MAR05401	0
MAR08568	0
MAR08569	0
MAR08570	0
MAR08571	0
MAR08572	0
MAR08573	0
MAR08574	0
MAR08575	0
MAR08576	0
MAR08577	0
MAR08578	0
MAR08579	0
MAR08581	0
MAR08591	0
MAR08592	0
MAR08580	0
MAR08582	0
MAR08587	0
MAR08589	0
MAR08583	0
MAR08584	0
MAR08585	0
MAR03944	0
MAR04128	0
MAR04130	0
MAR04131	0
MAR04132	0
MAR04303	0
MAR04414	0
MAR04415	0
MAR04416	0
MAR04774	0
MAR04775	0
MAR04831	0
MAR04832	0
MAR07674	0
MAR08761	0
MAR08762	0
MAR08764	0
MAR08766	0
MAR08767	0
MAR00454	0
MAR04297	0
MAR04310	0
MAR04315	0
MAR04316	0
MAR04317	0
MAR04318	0
MAR04319	0
MAR04320	0
MAR04356	0
MAR04383	0
MAR04385	0
MAR04386	0
MAR04387	0
MAR04399	0
MAR04400	0
MAR04401	0
MAR04402	0
MAR04403	0
MAR04490	0
MAR04706	0
MAR08768	0
MAR04590	0
MAR04591	0
MAR04592	0
MAR04593	0
MAR04594	0
MAR04595	0
MAR08341	0
MAR08342	0
MAR08344	0
MAR08352	0
MAR08353	0
MAR08726	0
MAR08727	0
MAR08728	0
MAR08729	0
MAR06537	0
MAR01568	0
MAR03853	0
MAR03854	0
MAR03855	0
MAR03857	0
MAR03859	0
MAR04087	0
MAR04089	0
MAR04091	0
MAR04093	0
MAR04095	0
MAR04101	0
MAR04103	0
MAR04143	0
MAR04193	0
MAR08497	0
MAR08498	0
MAR08499	0
MAR08500	0
MAR08501	0
MAR08502	0
MAR08503	0
MAR08504	0
MAR08506	0
MAR08507	0
MAR08508	0
MAR08509	0
MAR08511	0
MAR08512	0
MAR08514	0
MAR08516	0
MAR08517	0
MAR04280	0
MAR00153	0
MAR03212	0
MAR03797	0
MAR03800	0
MAR04105	0
MAR04106	0
MAR04107	0
MAR04282	0
MAR04331	0
MAR04459	0
MAR04460	0
MAR04464	0
MAR04497	0
MAR04741	0
MAR08078	0
MAR09803	0
MAR09804	0
MAR00718	0
MAR00719	0
MAR01434	0
MAR01436	0
MAR03163	0
MAR04461	0
MAR04604	0
MAR05351	0
MAR07709	0
MAR04052	0
MAR04304	0
MAR04350	0
MAR04351	0
MAR04352	0
MAR04354	0
MAR04398	0
MAR04404	0
MAR04473	0
MAR04474	0
MAR04476	0
MAR04477	0
MAR04501	0
MAR04565	0
MAR04567	0
MAR09799	0
MAR09800	0
MAR04623	0
MAR04625	0
MAR04710	0
MAR04841	0
MAR08074	0
MAR08653	0
MAR03998	0
MAR04000	0
MAR04002	0
MAR04004	0
MAR04010	0
MAR04081	0
MAR04082	0
MAR04012	0
MAR04014	0
MAR04020	0
MAR04022	0
MAR04038	0
MAR04040	0
MAR04042	0
MAR04046	0
MAR04048	0
MAR04080	0
MAR04085	0
MAR04086	0
MAR04134	0
MAR04135	0
MAR04168	0
MAR04171	0
MAR04290	0
MAR04406	0
MAR04412	0
MAR04417	0
MAR04418	0
MAR04419	0
MAR04421	0
MAR04449	0
MAR04450	0
MAR04451	0
MAR04452	0
MAR04453	0
MAR04480	0
MAR04481	0
MAR04482	0
MAR04486	0
MAR04487	0
MAR04488	0
MAR04489	0
MAR04492	0
MAR04493	0
MAR04495	0
MAR04496	0
MAR04518	0
MAR04519	0
MAR04520	0
MAR04573	0
MAR04574	0
MAR04600	0
MAR04602	0
MAR04603	0
MAR04611	0
MAR04612	0
MAR04614	0
MAR04615	0
MAR04617	0
MAR04618	0
MAR04619	0
MAR04621	0
MAR04632	0
MAR04646	0
MAR04648	0
MAR04649	0
MAR04650	0
MAR04651	0
MAR04663	0
MAR04664	0
MAR04694	0
MAR04695	0
MAR04705	0
MAR04709	0
MAR04799	0
MAR04802	0
MAR04804	0
MAR04808	0
MAR04810	0
MAR04812	0
MAR04814	0
MAR05301	0
MAR05353	0
MAR06601	0
MAR06602	0
MAR06603	0
MAR06605	0
MAR06606	0
MAR06607	0
MAR06609	0
MAR06610	0
MAR06611	0
MAR07144	0
MAR08755	0
MAR09797	0
MAR04016	0
MAR04018	0
MAR04044	0
MAR04291	0
MAR04420	0
MAR04570	0
MAR04572	0
MAR04006	0
MAR04028	0
MAR04030	0
MAR04670	0
MAR04673	0
MAR04675	0
MAR06614	0
MAR06615	0
MAR06616	0
MAR04635	0
MAR03793	0
MAR03931	0
MAR03969	0
MAR03970	0
MAR04008	0
MAR04032	0
MAR04034	0
MAR04036	0
MAR04050	0
MAR04056	0
MAR04059	0
MAR04060	0
MAR04127	0
MAR04177	0
MAR04179	0
MAR04182	0
MAR04183	0
MAR04192	0
MAR04194	0
MAR04210	0
MAR04211	0
MAR04343	0
MAR04345	0
MAR04346	0
MAR04470	0
MAR04471	0
MAR04472	0
MAR04484	0
MAR04485	0
MAR04510	0
MAR04512	0
MAR04513	0
MAR04514	0
MAR04577	0
MAR04579	0
MAR04580	0
MAR04608	0
MAR04575	0
MAR04637	0
MAR04642	0
MAR04643	0
MAR04644	0
MAR04672	0
MAR04676	0
MAR04736	0
MAR04819	0
MAR05299	0
MAR05352	0
MAR05415	0
MAR05416	0
MAR05417	0
MAR06612	0
MAR06613	0
MAR06621	0
MAR06622	0
MAR06623	0
MAR06624	0
MAR06627	0
MAR07744	0
MAR08072	0
MAR08637	0
MAR03965	0
MAR03966	0
MAR03967	0
MAR03968	0
MAR03999	0
MAR04024	0
MAR04026	0
MAR04054	0
MAR04061	0
MAR04083	0
MAR04136	0
MAR04180	0
MAR04185	0
MAR04186	0
MAR04342	0
MAR04344	0
MAR04483	0
MAR04507	0
MAR04516	0
MAR04601	0
MAR04633	0
MAR04640	0
MAR04641	0
MAR04680	0
MAR04806	0
MAR05394	0
MAR06625	0
MAR06626	0
MAR07160	0
MAR07161	0
MAR07162	0
MAR07163	0
MAR07164	0
MAR07713	0
MAR07716	0
MAR07717	0
MAR07721	0
MAR07725	0
MAR07728	0
MAR07800	0
MAR07801	0
MAR07802	0
MAR07863	0
MAR07864	0
MAR07865	0
MAR07866	0
MAR07867	0
MAR07868	0
MAR07869	0
MAR07870	0
MAR07871	0
MAR07872	0
MAR07873	0
MAR07874	0
MAR07875	0
MAR07876	0
MAR07878	0
MAR07879	0
MAR07880	0
MAR07881	0
MAR07882	0
MAR07883	0
MAR07884	0
MAR07885	0
MAR07886	0
MAR07887	0
MAR07888	0
MAR07889	0
MAR07890	0
MAR07891	0
MAR07892	0
MAR07893	0
MAR07894	0
MAR07895	0
MAR08083	0
MAR08085	0
MAR08087	0
MAR08443	0
MAR08444	0
MAR08445	0
MAR08446	0
MAR08448	0
MAR08449	0
MAR08450	0
MAR08451	0
MAR08452	0
MAR08453	0
MAR08454	0
MAR08455	0
MAR08456	0
MAR08457	0
MAR08458	0
MAR08459	0
MAR08460	0
MAR08461	0
MAR08462	0
MAR08463	0
MAR08464	0
MAR08465	0
MAR08466	0
MAR08467	0
MAR08468	0
MAR08469	0
MAR08470	0
MAR08471	0
MAR08472	0
MAR08473	0
MAR08474	0
MAR08477	0
MAR08478	0
MAR08479	0
MAR08480	0
MAR08481	0
MAR08482	0
MAR08483	0
MAR08484	0
MAR08485	0
MAR08486	0
MAR08487	0
MAR08488	0
MAR08489	0
MAR08493	0
MAR08494	0
MAR08495	0
MAR03802	0
MAR03804	0
MAR03811	0
MAR03813	0
MAR03822	0
MAR03827	0
MAR03829	0
MAR03831	0
MAR03862	0
MAR03865	0
MAR03870	0
MAR03873	0
MAR08654	0
MAR03890	0
MAR03892	0
MAR09802	0
MAR03899	0
MAR03903	0
MAR04109	0
MAR04114	0
MAR04115	0
MAR04118	0
MAR04172	0
MAR04196	0
MAR04197	0
MAR04287	0
MAR04690	0
MAR04693	0
MAR06780	0
MAR06968	0
MAR06969	0
MAR06970	0
MAR06971	0
MAR06972	0
MAR07641	0
MAR07642	0
MAR08626	0
MAR08628	0
MAR03806	0
MAR03807	0
MAR03809	0
MAR03816	0
MAR03819	0
MAR03820	0
MAR03832	0
MAR03833	0
MAR03835	0
MAR03837	0
MAR03838	0
MAR03895	0
MAR03897	0
MAR03956	0
MAR03993	0
MAR04073	0
MAR04075	0
MAR04077	0
MAR04190	0
MAR04191	0
MAR04212	0
MAR04422	0
MAR04423	0
MAR04424	0
MAR04583	0
MAR04605	0
MAR04606	0
MAR04607	0
MAR04776	0
MAR04777	0
MAR04778	0
MAR04779	0
MAR04780	0
MAR04781	0
MAR04784	0
MAR04785	0
MAR04786	0
MAR04787	0
MAR05384	0
MAR06929	0
MAR06930	0
MAR06931	0
MAR06932	0
MAR06933	0
MAR06934	0
MAR06935	0
MAR06936	0
MAR06938	0
MAR06939	0
MAR06940	0
MAR06941	0
MAR06942	0
MAR06943	0
MAR06944	0
MAR06945	0
MAR06946	0
MAR06947	0
MAR06948	0
MAR06949	0
MAR06950	0
MAR06951	0
MAR06952	0
MAR06953	0
MAR06954	0
MAR06955	0
MAR06956	0
MAR06957	0
MAR06958	0
MAR06959	0
MAR06960	0
MAR06961	0
MAR06962	0
MAR06963	0
MAR06964	0
MAR06965	0
MAR06966	0
MAR06967	0
MAR06973	0
MAR08096	0
MAR08097	0
MAR08098	0
MAR08416	0
MAR08425	0
MAR08426	0
MAR08427	0
MAR08431	0
MAR08432	0
MAR08603	0
MAR08604	0
MAR08605	0
MAR08606	0
MAR08607	0
MAR08608	0
MAR08609	0
MAR08610	0
MAR08611	0
MAR04285	0
MAR00457	0
MAR00460	0
MAR03750	0
MAR03752	0
MAR03770	0
MAR03771	0
MAR03772	0
MAR03782	0
MAR03784	0
MAR03794	0
MAR03839	0
MAR03841	0
MAR03843	0
MAR03845	0
MAR03847	0
MAR03849	0
MAR03852	0
MAR03856	0
MAR03860	0
MAR03883	0
MAR03901	0
MAR03939	0
MAR03974	0
MAR04198	0
MAR04199	0
MAR04200	0
MAR04284	0
MAR04348	0
MAR04466	0
MAR04467	0
MAR04582	0
MAR04584	0
MAR04696	0
MAR04697	0
MAR04698	0
MAR04699	0
MAR04700	0
MAR04742	0
MAR04788	0
MAR04789	0
MAR04791	0
MAR04792	0
MAR04937	0
MAR05392	0
MAR05393	0
MAR06409	0
MAR07702	0
MAR07703	0
MAR08433	0
MAR08434	0
MAR08439	0
MAR08440	0
MAR08441	0
MAR08442	0
MAR09718	0
MAR09486	0
MAR04426	0
MAR04428	0
MAR04429	0
MAR04430	0
MAR04431	0
MAR04437	0
MAR04658	0
MAR04660	0
MAR04712	0
MAR05336	0
MAR05337	0
MAR05338	0
MAR05339	0
MAR05340	0
MAR08783	0
MAR08784	0
MAR08786	0
MAR04239	0
MAR04241	0
MAR04288	0
MAR04596	0
MAR04597	0
MAR04599	0
MAR04667	0
MAR04668	0
MAR04737	0
MAR04739	0
MAR04740	1
MAR06415	0
MAR06974	0
MAR06975	0
MAR06976	0
MAR06977	0
MAR06978	0
MAR06979	0
MAR06980	0
MAR06981	0
MAR06982	0
MAR06983	0
MAR06984	0
MAR06985	0
MAR08017	0
MAR08018	0
MAR08019	0
MAR08021	0
MAR08025	0
MAR08026	0
MAR08027	0
MAR08029	0
MAR03164	0
MAR03166	0
MAR03885	0
MAR04250	1
MAR08091	0
MAR08092	0
MAR08563	0
MAR08564	0
MAR08565	0
MAR08566	0
MAR03935	0
MAR04681	0
MAR04682	0
MAR04683	0
MAR04685	0
MAR04686	0
MAR04687	0
MAR04702	0
MAR04703	0
MAR04704	0
MAR06988	0
MAR07689	0
MAR07701	0
MAR08094	0
MAR08529	0
MAR08530	0
